
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:51:5C:E3:58:98, 2025-10-24 16:18:50, 2025-10-24 16:18:57,  1, 130, WPA2, CCMP, PSK, -78,        6,      324,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-24 16:18:50, 2025-10-24 16:18:57,  1,  65, WPA2, CCMP, PSK, -31,        3,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
84:15:D3:0A:67:38, 2025-10-24 16:18:50, 2025-10-24 16:18:57,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -81,       17,       55,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
E0:A1:CE:F5:EB:DC, 2025-10-24 16:18:52, 2025-10-24 16:18:52,  9, 130, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,   4, LALA, 
CC:2D:21:2A:23:01, 2025-10-24 16:18:52, 2025-10-24 16:18:57,  5,  65, WPA2 WPA, CCMP, PSK, -66,        5,       13,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
CE:5E:67:4C:28:35, 2025-10-24 16:18:53, 2025-10-24 16:18:56, 11, 180, WPA2, CCMP, PSK, -86,        6,        0,   0.  0.  0.  0,   8, YGYGYGYG, 
04:95:E6:2B:F5:B8, 2025-10-24 16:18:53, 2025-10-24 16:18:57,  6, 130, WPA2, CCMP, PSK, -75,        6,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
EC:E7:A2:DF:06:E9, 2025-10-24 16:18:53, 2025-10-24 16:18:54,  1, 130, WPA2 WPA, CCMP, PSK, -84,        2,        0,   0.  0.  0.  0,   3, SCC, 
48:A6:4E:6A:C9:E9, 2025-10-24 16:18:53, 2025-10-24 16:18:53,  1, 130, WPA2, CCMP TKIP, PSK, -78,        1,        0,   0.  0.  0.  0,  23, Selaras Group Indonesia, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
BE:FA:7B:7C:4B:45, 2025-10-24 16:18:50, 2025-10-24 16:18:57, -84,      243, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-24 16:18:50, 2025-10-24 16:18:57, -78,       72, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 16:18:50, 2025-10-24 16:18:57, -77,       31, C0:51:5C:E3:58:98,
46:25:5C:9B:7E:AD, 2025-10-24 16:18:50, 2025-10-24 16:18:57,  -1,       27, 84:15:D3:0A:67:38,
A0:F3:C1:2E:17:CB, 2025-10-24 16:18:51, 2025-10-24 16:18:57,  -1,        6, 84:15:D3:0A:67:38,
70:B1:3D:98:DB:42, 2025-10-24 16:18:51, 2025-10-24 16:18:51, -71,        1, (not associated) ,
30:E7:BC:D8:FD:11, 2025-10-24 16:18:51, 2025-10-24 16:18:57, -80,        8, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 16:18:51, 2025-10-24 16:18:57,  -1,        3, 84:15:D3:0A:67:38,
BA:8E:56:20:97:C4, 2025-10-24 16:18:51, 2025-10-24 16:18:57, -74,        5, 84:15:D3:0A:67:38,
16:B4:9B:8A:F9:83, 2025-10-24 16:18:51, 2025-10-24 16:18:57, -81,       12, 84:15:D3:0A:67:38,
06:16:8B:2F:71:5D, 2025-10-24 16:18:53, 2025-10-24 16:18:53, -59,        4, (not associated) ,
5A:68:F4:77:24:CE, 2025-10-24 16:18:53, 2025-10-24 16:18:53,  -1,       11, CC:2D:21:2A:23:01,
96:01:89:2B:FF:37, 2025-10-24 16:18:53, 2025-10-24 16:18:53, -56,        1, CC:2D:21:2A:23:01,
CA:43:1D:14:34:42, 2025-10-24 16:18:56, 2025-10-24 16:18:56,  -1,        1, CC:2D:21:2A:23:01,
DC:DF:D6:57:1C:CF, 2025-10-24 16:18:57, 2025-10-24 16:18:57,  -1,        1, 84:15:D3:0A:67:38,

