
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:51:5C:E3:58:98, 2025-10-24 16:20:48, 2025-10-24 16:20:59,  1, 130, WPA2, CCMP, PSK, -85,        2,       23,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-24 16:20:48, 2025-10-24 16:20:59,  1,  65, WPA2, CCMP, PSK, -30,        6,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
84:15:D3:0A:67:38, 2025-10-24 16:20:50, 2025-10-24 16:21:04,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -76,       28,      500,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-24 16:20:52, 2025-10-24 16:21:04,  5,  65, WPA2 WPA, CCMP, PSK, -73,        6,       25,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
E0:A1:CE:F5:EB:DC, 2025-10-24 16:20:56, 2025-10-24 16:21:02,  9, 130, WPA2, CCMP, PSK, -88,        3,        0,   0.  0.  0.  0,   4, LALA, 
CE:5E:67:4C:28:35, 2025-10-24 16:20:58, 2025-10-24 16:21:04, 11, 180, WPA2, CCMP, PSK, -91,        2,        0,   0.  0.  0.  0,   8, YGYGYGYG, 
04:95:E6:2B:F5:B8, 2025-10-24 16:20:58, 2025-10-24 16:21:04,  6, 130, WPA2, CCMP, PSK, -72,        4,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
68:59:11:D6:25:28, 2025-10-24 16:21:00, 2025-10-24 16:21:04,  6, 130, WPA2, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
BE:FA:7B:7C:4B:45, 2025-10-24 16:20:48, 2025-10-24 16:20:59,  -1,       15, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 16:20:48, 2025-10-24 16:20:59, -84,       13, C0:51:5C:E3:58:98,
16:B4:9B:8A:F9:83, 2025-10-24 16:20:51, 2025-10-24 16:21:03, -87,      456, 84:15:D3:0A:67:38,
46:25:5C:9B:7E:AD, 2025-10-24 16:20:51, 2025-10-24 16:21:03, -92,        7, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-24 16:20:52, 2025-10-24 16:21:03, -39,       10, 84:15:D3:0A:67:38,
CA:43:1D:14:34:42, 2025-10-24 16:20:52, 2025-10-24 16:20:58,  -1,        4, CC:2D:21:2A:23:01,
34:E9:11:4A:2F:3D, 2025-10-24 16:20:52, 2025-10-24 16:20:52,  -1,        1, CC:2D:21:2A:23:01,
E6:C5:83:ED:AE:1E, 2025-10-24 16:20:53, 2025-10-24 16:20:53, -62,        1, (not associated) ,
F6:E1:4E:2A:1C:74, 2025-10-24 16:20:54, 2025-10-24 16:20:59, -87,        5, C0:51:5C:E3:58:98,
96:01:89:2B:FF:37, 2025-10-24 16:20:56, 2025-10-24 16:21:04, -65,       14, CC:2D:21:2A:23:01,
BA:8E:56:20:97:C4, 2025-10-24 16:20:57, 2025-10-24 16:21:03, -32,        3, 84:15:D3:0A:67:38,
34:E9:11:37:53:29, 2025-10-24 16:20:58, 2025-10-24 16:21:02,  -1,       16, CC:2D:21:2A:23:01,
DE:0B:4D:7E:C0:C9, 2025-10-24 16:20:59, 2025-10-24 16:20:59, -78,        1, (not associated) ,
A0:F3:C1:2E:17:CB, 2025-10-24 16:21:02, 2025-10-24 16:21:03, -82,        9, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 16:21:03, 2025-10-24 16:21:03,  -1,       19, 84:15:D3:0A:67:38,

