
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
46:D2:44:4E:2E:34, 2025-10-24 16:31:21, 2025-10-24 16:31:32,  1,  65, WPA2, CCMP, PSK, -31,        7,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-24 16:31:21, 2025-10-24 16:31:34,  1, 130, WPA2, CCMP, PSK, -85,        1,       12,   0.  0.  0.  0,   4, TWIN, 
84:15:D3:0A:67:38, 2025-10-24 16:31:23, 2025-10-24 16:31:36,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -43,       26,      106,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-24 16:31:25, 2025-10-24 16:31:35,  5,  65, WPA2 WPA, CCMP, PSK, -76,        4,       38,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
04:95:E6:2B:F5:B8, 2025-10-24 16:31:26, 2025-10-24 16:31:33,  6, 130, WPA2, CCMP, PSK, -73,        2,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
E0:A1:CE:F5:EB:DC, 2025-10-24 16:31:35, 2025-10-24 16:31:35,  9, 130, WPA2, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,   4, LALA, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C6:BE:93:E9:9C:1E, 2025-10-24 16:31:21, 2025-10-24 16:31:32, -81,        8, C0:51:5C:E3:58:98,
BE:FA:7B:7C:4B:45, 2025-10-24 16:31:24, 2025-10-24 16:31:34, -87,       13, C0:51:5C:E3:58:98,
DC:DF:D6:57:1C:CF, 2025-10-24 16:31:24, 2025-10-24 16:31:35, -40,        8, 84:15:D3:0A:67:38,
16:B4:9B:8A:F9:83, 2025-10-24 16:31:24, 2025-10-24 16:31:25,  -1,      103, 84:15:D3:0A:67:38,
E4:A7:A0:56:44:AC, 2025-10-24 16:31:24, 2025-10-24 16:31:36, -56,        9, 84:15:D3:0A:67:38,
A6:2F:EE:A2:78:FB, 2025-10-24 16:31:25, 2025-10-24 16:31:26,  -1,        3, CC:2D:21:2A:23:01,
CA:43:1D:14:34:42, 2025-10-24 16:31:26, 2025-10-24 16:31:35,  -1,       34, CC:2D:21:2A:23:01,
F6:E1:4E:2A:1C:74, 2025-10-24 16:31:27, 2025-10-24 16:31:34, -78,        8, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 16:31:27, 2025-10-24 16:31:32, -80,        8, C0:51:5C:E3:58:98,
30:E7:BC:D8:FD:11, 2025-10-24 16:31:29, 2025-10-24 16:31:29, -85,        1, 84:15:D3:0A:67:38,
34:E9:11:37:53:29, 2025-10-24 16:31:32, 2025-10-24 16:31:32,  -1,        1, CC:2D:21:2A:23:01,

