
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E0:A1:CE:F5:EB:DC, 2025-10-24 16:35:46, 2025-10-24 16:35:50, 10, 130, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,   4, LALA, 
C0:51:5C:E3:58:98, 2025-10-24 16:35:46, 2025-10-24 16:35:52,  1, 130, WPA2, CCMP, PSK, -84,        3,       53,   0.  0.  0.  0,   4, TWIN, 
68:59:11:D6:25:28, 2025-10-24 16:35:47, 2025-10-24 16:35:52,  6, 130, WPA2, CCMP, PSK, -81,        6,        0,   0.  0.  0.  0,   5, VP D2, 
04:95:E6:2B:F5:B8, 2025-10-24 16:35:47, 2025-10-24 16:35:52,  6, 130, WPA2, CCMP, PSK, -74,        3,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
84:15:D3:0A:67:38, 2025-10-24 16:35:48, 2025-10-24 16:35:51,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -75,       14,        4,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-24 16:35:49, 2025-10-24 16:35:51,  5,  65, WPA2 WPA, CCMP, PSK, -74,        5,        2,   0.  0.  0.  0,  17, NURULFAJAR-Online, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C6:BE:93:E9:9C:1E, 2025-10-24 16:35:46, 2025-10-24 16:35:52, -75,       29, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-24 16:35:46, 2025-10-24 16:35:52, -87,       50, C0:51:5C:E3:58:98,
BE:FA:7B:7C:4B:45, 2025-10-24 16:35:46, 2025-10-24 16:35:46, -89,        2, C0:51:5C:E3:58:98,
0A:85:2D:26:35:CC, 2025-10-24 16:35:46, 2025-10-24 16:35:46, -92,        1, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 16:35:46, 2025-10-24 16:35:46, -79,       12, C0:51:5C:E3:58:98,
44:D2:44:4E:AE:34, 2025-10-24 16:35:48, 2025-10-24 16:35:50, -31,       11, (not associated) ,Nurul Fajar Onine-2.4G
96:01:89:2B:FF:37, 2025-10-24 16:35:49, 2025-10-24 16:35:49, -75,        2, CC:2D:21:2A:23:01,
46:25:5C:9B:7E:AD, 2025-10-24 16:35:49, 2025-10-24 16:35:49, -91,        1, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-24 16:35:49, 2025-10-24 16:35:49, -39,        1, 84:15:D3:0A:67:38,
E4:A7:A0:56:44:AC, 2025-10-24 16:35:49, 2025-10-24 16:35:50, -17,        4, 84:15:D3:0A:67:38,
72:61:89:94:E4:FA, 2025-10-24 16:35:51, 2025-10-24 16:35:51, -86,        1, 68:59:11:D6:25:28,
30:E7:BC:D8:FD:11, 2025-10-24 16:35:51, 2025-10-24 16:35:51,  -1,        1, 84:15:D3:0A:67:38,
62:75:76:41:FB:A8, 2025-10-24 16:35:52, 2025-10-24 16:35:52, -62,        2, (not associated) ,

