
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-24 16:37:37, 2025-10-24 16:37:48,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -74,       21,        8,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
38:91:48:09:B1:3E, 2025-10-24 16:37:37, 2025-10-24 16:37:37,  1, 130, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  11, Medinamecca, 
C0:51:5C:E3:58:98, 2025-10-24 16:37:37, 2025-10-24 16:37:48,  1, 130, WPA2, CCMP, PSK, -83,        6,       53,   0.  0.  0.  0,   4, TWIN, 
68:59:11:D6:25:28, 2025-10-24 16:37:38, 2025-10-24 16:37:47,  6, 130, WPA2, CCMP, PSK, -82,        2,        0,   0.  0.  0.  0,   5, VP D2, 
CC:2D:21:2A:23:01, 2025-10-24 16:37:41, 2025-10-24 16:37:47,  5,  65, WPA2 WPA, CCMP, PSK, -73,        9,        2,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
E0:A1:CE:F5:EB:DC, 2025-10-24 16:37:41, 2025-10-24 16:37:47, 10, 130, WPA2, CCMP, PSK, -88,        3,        0,   0.  0.  0.  0,   4, LALA, 
0E:53:62:B0:6B:1E, 2025-10-24 16:37:42, 2025-10-24 16:37:48,  6, 180, WPA2, CCMP, PSK, -91,        2,        0,   0.  0.  0.  0,   3, +62, 
46:D2:44:4E:2E:34, 2025-10-24 16:37:43, 2025-10-24 16:37:43,  1,  65, WPA2, CCMP, PSK, -31,        1,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
48:A6:4E:6A:C9:E9, 2025-10-24 16:37:43, 2025-10-24 16:37:43,  1, 130, WPA2, CCMP TKIP, PSK, -86,        1,        0,   0.  0.  0.  0,  23, Selaras Group Indonesia, 
CE:5E:67:4C:28:35, 2025-10-24 16:37:47, 2025-10-24 16:37:48, 11, 180, WPA2, CCMP, PSK, -92,        2,        0,   0.  0.  0.  0,   8, YGYGYGYG, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E4:A7:A0:56:44:AC, 2025-10-24 16:37:37, 2025-10-24 16:37:48, -63,       11, 84:15:D3:0A:67:38,
C6:BE:93:E9:9C:1E, 2025-10-24 16:37:37, 2025-10-24 16:37:48, -70,      115, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 16:37:37, 2025-10-24 16:37:43, -81,        8, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-24 16:37:37, 2025-10-24 16:37:43, -81,       10, C0:51:5C:E3:58:98,
46:25:5C:9B:7E:AD, 2025-10-24 16:37:39, 2025-10-24 16:37:39,  -1,        1, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-24 16:37:40, 2025-10-24 16:37:41, -38,        4, 84:15:D3:0A:67:38,
16:B4:9B:8A:F9:83, 2025-10-24 16:37:40, 2025-10-24 16:37:40,  -1,        1, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 16:37:41, 2025-10-24 16:37:41,  -1,        1, 84:15:D3:0A:67:38,
A6:2F:EE:A2:78:FB, 2025-10-24 16:37:41, 2025-10-24 16:37:41,  -1,        2, CC:2D:21:2A:23:01,
30:E7:BC:D8:FD:11, 2025-10-24 16:37:41, 2025-10-24 16:37:41, -79,        2, 84:15:D3:0A:67:38,
70:B1:3D:98:DB:42, 2025-10-24 16:37:44, 2025-10-24 16:37:45, -72,        7, (not associated) ,AP-MASJID-NURULFAJAR,MASJID NF ONLINE
9A:EF:89:08:50:8D, 2025-10-24 16:37:46, 2025-10-24 16:37:47, -79,        6, (not associated) ,
A0:F3:C1:2E:17:CB, 2025-10-24 16:37:47, 2025-10-24 16:37:47,  -1,        1, 84:15:D3:0A:67:38,

