
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:51:5C:E3:58:98, 2025-10-24 16:42:48, 2025-10-24 16:42:55,  1,  -1, WPA, ,   , -80,        0,        6,   0.  0.  0.  0,   0, , 
46:D2:44:4E:2E:34, 2025-10-24 16:42:48, 2025-10-24 16:42:54,  1,  65, WPA2, CCMP, PSK, -30,        3,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
68:59:11:D6:25:28, 2025-10-24 16:42:49, 2025-10-24 16:42:49,  6, 130, WPA2, CCMP, PSK, -81,        1,        0,   0.  0.  0.  0,   5, VP D2, 
84:15:D3:0A:67:38, 2025-10-24 16:42:49, 2025-10-24 16:42:57,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -37,       15,       85,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-24 16:42:51, 2025-10-24 16:42:58,  5,  65, WPA2 WPA, CCMP, PSK, -70,        1,       11,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
E0:A1:CE:F5:EB:DC, 2025-10-24 16:42:52, 2025-10-24 16:42:57, 10, 130, WPA2, CCMP, PSK, -88,        3,        0,   0.  0.  0.  0,   4, LALA, 
CE:5E:67:4C:28:35, 2025-10-24 16:42:52, 2025-10-24 16:42:52, 11, 180, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,   8, YGYGYGYG, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
BE:FA:7B:7C:4B:45, 2025-10-24 16:42:48, 2025-10-24 16:42:48, -89,        4, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 16:42:48, 2025-10-24 16:42:54, -82,        2, C0:51:5C:E3:58:98,
C6:BE:93:E9:9C:1E, 2025-10-24 16:42:49, 2025-10-24 16:42:55, -87,       39, C0:51:5C:E3:58:98,
FE:21:B0:3A:4D:B7, 2025-10-24 16:42:49, 2025-10-24 16:42:49, -81,        2, C0:51:5C:E3:58:98,
16:B4:9B:8A:F9:83, 2025-10-24 16:42:50, 2025-10-24 16:42:55, -82,       12, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-24 16:42:50, 2025-10-24 16:42:57, -77,       20, 84:15:D3:0A:67:38,
BA:8E:56:20:97:C4, 2025-10-24 16:42:50, 2025-10-24 16:42:56,  -1,        7, 84:15:D3:0A:67:38,
A0:F3:C1:2E:17:CB, 2025-10-24 16:42:50, 2025-10-24 16:42:51,  -1,        3, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 16:42:50, 2025-10-24 16:42:51,  -1,       17, 84:15:D3:0A:67:38,
46:25:5C:9B:7E:AD, 2025-10-24 16:42:50, 2025-10-24 16:42:56, -89,       26, 84:15:D3:0A:67:38,Nadifa_arif,RIN (5,8 GHz)
DC:DF:D6:57:1C:CF, 2025-10-24 16:42:51, 2025-10-24 16:42:56, -47,        8, 84:15:D3:0A:67:38,
E4:A7:A0:56:44:AC, 2025-10-24 16:42:51, 2025-10-24 16:42:57, -14,        4, 84:15:D3:0A:67:38,
96:01:89:2B:FF:37, 2025-10-24 16:42:51, 2025-10-24 16:42:57, -68,        6, CC:2D:21:2A:23:01,
7E:8C:33:5F:B9:4E, 2025-10-24 16:42:52, 2025-10-24 16:42:53,  -1,        2, CC:2D:21:2A:23:01,
C2:E8:B2:B0:5B:0E, 2025-10-24 16:42:52, 2025-10-24 16:42:52,  -1,        5, CC:2D:21:2A:23:01,
CA:43:1D:14:34:42, 2025-10-24 16:42:57, 2025-10-24 16:42:57,  -1,        1, CC:2D:21:2A:23:01,
34:E9:11:4A:2F:3D, 2025-10-24 16:42:58, 2025-10-24 16:42:58,  -1,        1, CC:2D:21:2A:23:01,

