
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
CC:2D:21:2A:23:01, 2025-10-24 16:54:05, 2025-10-24 16:54:16,  5,  65, WPA2 WPA, CCMP, PSK, -74,        6,       12,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
84:15:D3:0A:67:38, 2025-10-24 16:54:05, 2025-10-24 16:54:16,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -48,       14,       56,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
C0:51:5C:E3:58:98, 2025-10-24 16:54:05, 2025-10-24 16:54:16,  1,  -1, WPA, ,   , -82,        0,        3,   0.  0.  0.  0,   0, , 
46:D2:44:4E:2E:34, 2025-10-24 16:54:05, 2025-10-24 16:54:16,  1,  65, WPA2, CCMP, PSK, -34,        5,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
E0:A1:CE:F5:EB:DC, 2025-10-24 16:54:08, 2025-10-24 16:54:14,  9, 130, WPA2, CCMP, PSK, -87,        3,        0,   0.  0.  0.  0,   4, LALA, 
68:59:11:D6:25:28, 2025-10-24 16:54:11, 2025-10-24 16:54:11,  6, 130, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
46:31:38:C9:71:5F, 2025-10-24 16:54:05, 2025-10-24 16:54:16,  -1,        9, CC:2D:21:2A:23:01,
BA:8E:56:20:97:C4, 2025-10-24 16:54:05, 2025-10-24 16:54:16, -60,       11, 84:15:D3:0A:67:38,
BE:FA:7B:7C:4B:45, 2025-10-24 16:54:05, 2025-10-24 16:54:16, -60,        7, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 16:54:05, 2025-10-24 16:54:16, -70,        8, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-24 16:54:05, 2025-10-24 16:54:05, -81,        1, C0:51:5C:E3:58:98,
30:E7:BC:D8:FD:11, 2025-10-24 16:54:06, 2025-10-24 16:54:14, -85,        9, 84:15:D3:0A:67:38,
16:B4:9B:8A:F9:83, 2025-10-24 16:54:07, 2025-10-24 16:54:15,  -1,       27, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 16:54:07, 2025-10-24 16:54:15, -81,        6, 84:15:D3:0A:67:38,
E4:A7:A0:56:44:AC, 2025-10-24 16:54:07, 2025-10-24 16:54:14, -55,       38, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-24 16:54:07, 2025-10-24 16:54:15, -48,        8, 84:15:D3:0A:67:38,
34:E9:11:4A:2F:3D, 2025-10-24 16:54:16, 2025-10-24 16:54:16,  -1,        1, CC:2D:21:2A:23:01,

