
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-24 17:10:19, 2025-10-24 17:10:51,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -34,       65,       33,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
46:D2:44:4E:2E:34, 2025-10-24 17:10:20, 2025-10-24 17:10:47,  1,  65, WPA2, CCMP, PSK, -31,       12,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-24 17:10:20, 2025-10-24 17:10:47,  1,  -1, WPA, ,   , -83,        0,       50,   0.  0.  0.  0,   0, , 
04:95:E6:2B:F5:B8, 2025-10-24 17:10:24, 2025-10-24 17:10:41,  6, 130, WPA2, CCMP, PSK, -73,        5,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
CC:2D:21:2A:23:01, 2025-10-24 17:10:29, 2025-10-24 17:10:51,  5,  65, WPA2 WPA, CCMP, PSK, -72,        9,       40,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
E0:A1:CE:F5:EB:DC, 2025-10-24 17:10:34, 2025-10-24 17:10:40, 10, 130, WPA2, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,   4, LALA, 
68:59:11:D6:25:28, 2025-10-24 17:10:35, 2025-10-24 17:10:46,  6, 130, WPA2, CCMP, PSK, -80,        6,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
BA:8E:56:20:97:C4, 2025-10-24 17:10:19, 2025-10-24 17:10:50, -21,       24, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-24 17:10:19, 2025-10-24 17:10:51, -38,       15, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 17:10:19, 2025-10-24 17:10:45,  -1,        3, 84:15:D3:0A:67:38,
16:B4:9B:8A:F9:83, 2025-10-24 17:10:19, 2025-10-24 17:10:49,  -1,       15, 84:15:D3:0A:67:38,
FE:21:B0:3A:4D:B7, 2025-10-24 17:10:20, 2025-10-24 17:10:47, -82,       11, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 17:10:20, 2025-10-24 17:10:47, -77,       21, C0:51:5C:E3:58:98,
BE:FA:7B:7C:4B:45, 2025-10-24 17:10:20, 2025-10-24 17:10:47, -89,       40, C0:51:5C:E3:58:98,
30:E7:BC:D8:FD:11, 2025-10-24 17:10:27, 2025-10-24 17:10:45, -75,        7, 84:15:D3:0A:67:38,
46:31:38:C9:71:5F, 2025-10-24 17:10:29, 2025-10-24 17:10:51, -92,       25, CC:2D:21:2A:23:01,
5A:68:F4:77:24:CE, 2025-10-24 17:10:29, 2025-10-24 17:10:51,  -1,        8, CC:2D:21:2A:23:01,
A0:F3:C1:2E:17:CB, 2025-10-24 17:10:35, 2025-10-24 17:10:46, -77,        8, CC:2D:21:2A:23:01,
F6:E1:4E:2A:1C:74, 2025-10-24 17:10:36, 2025-10-24 17:10:36, -82,        1, C0:51:5C:E3:58:98,
02:47:14:6B:0D:62, 2025-10-24 17:10:40, 2025-10-24 17:10:40, -68,        4, (not associated) ,
DE:90:79:5A:D5:B4, 2025-10-24 17:10:46, 2025-10-24 17:10:46, -67,        3, (not associated) ,

