
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-24 17:18:33, 2025-10-24 17:18:48,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -34,       30,      142,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
C0:51:5C:E3:58:98, 2025-10-24 17:18:33, 2025-10-24 17:18:46,  1, 130, WPA2, CCMP, PSK, -45,        3,       52,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-24 17:18:33, 2025-10-24 17:18:38,  1,  65, WPA2, CCMP, PSK, -28,        3,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
38:91:48:09:B1:3E, 2025-10-24 17:18:33, 2025-10-24 17:18:33,  1, 130, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,  11, Medinamecca, 
04:95:E6:2B:F5:B8, 2025-10-24 17:18:33, 2025-10-24 17:18:43,  6, 130, WPA2, CCMP, PSK, -74,        5,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
CC:2D:21:2A:23:01, 2025-10-24 17:18:36, 2025-10-24 17:18:48,  5,  65, WPA2 WPA, CCMP, PSK, -71,        9,       40,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
E0:A1:CE:F5:EB:DC, 2025-10-24 17:18:36, 2025-10-24 17:18:48, 10, 130, WPA2, CCMP, PSK, -90,        5,        0,   0.  0.  0.  0,   4, LALA, 
DC:99:14:13:AA:3C, 2025-10-24 17:18:37, 2025-10-24 17:18:37, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -87,        1,        0,   0.  0.  0.  0,  14, VILLA PANAM D1, 
68:59:11:D6:25:28, 2025-10-24 17:18:42, 2025-10-24 17:18:44,  6, 130, WPA2, CCMP, PSK, -79,        3,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
50:8A:06:C3:67:1F, 2025-10-24 17:18:33, 2025-10-24 17:18:47, -77,       11, 84:15:D3:0A:67:38,
16:B4:9B:8A:F9:83, 2025-10-24 17:18:33, 2025-10-24 17:18:47, -87,       85, 84:15:D3:0A:67:38,
BE:FA:7B:7C:4B:45, 2025-10-24 17:18:33, 2025-10-24 17:18:46, -86,      138, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 17:18:33, 2025-10-24 17:18:38, -76,       14, C0:51:5C:E3:58:98,
FE:21:B0:3A:4D:B7, 2025-10-24 17:18:34, 2025-10-24 17:18:34, -86,        1, C0:51:5C:E3:58:98,
DC:DF:D6:57:1C:CF, 2025-10-24 17:18:34, 2025-10-24 17:18:47, -37,       24, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-24 17:18:36, 2025-10-24 17:18:46, -83,       81, 84:15:D3:0A:67:38,
DA:83:7D:D4:6D:30, 2025-10-24 17:18:36, 2025-10-24 17:18:48,  -1,       36, CC:2D:21:2A:23:01,
5A:68:F4:77:24:CE, 2025-10-24 17:18:37, 2025-10-24 17:18:48,  -1,        3, CC:2D:21:2A:23:01,
44:D2:44:4E:AE:34, 2025-10-24 17:18:40, 2025-10-24 17:18:47, -43,       32, 84:15:D3:0A:67:38,Nurul Fajar Onine-2.4G
70:B1:3D:98:DB:42, 2025-10-24 17:18:40, 2025-10-24 17:18:42, -76,        5, (not associated) ,AP-MASJID-NURULFAJAR,MASJID NF ONLINE
08:7F:98:B3:31:E9, 2025-10-24 17:18:41, 2025-10-24 17:18:41, -93,        1, (not associated) ,
72:6D:21:D1:46:81, 2025-10-24 17:18:42, 2025-10-24 17:18:42,  -1,        1, CC:2D:21:2A:23:01,
F6:E1:4E:2A:1C:74, 2025-10-24 17:18:44, 2025-10-24 17:18:44, -92,        1, C0:51:5C:E3:58:98,

