
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-24 17:20:24, 2025-10-24 17:20:49,  4, 360, WPA2 WPA OPN, CCMP TKIP, PSK, -36,       45,      256,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-24 17:20:24, 2025-10-24 17:20:45,  5,  65, WPA2 WPA, CCMP, PSK, -75,       11,       46,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
C0:51:5C:E3:58:98, 2025-10-24 17:20:24, 2025-10-24 17:20:47,  1, 130, WPA2, CCMP, PSK, -82,        6,      157,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-24 17:20:24, 2025-10-24 17:20:46,  1,  65, WPA2, CCMP, PSK, -31,        9,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
04:95:E6:2B:F5:B8, 2025-10-24 17:20:24, 2025-10-24 17:20:47,  6, 130, WPA2, CCMP, PSK, -74,       10,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
E0:A1:CE:F5:EB:DC, 2025-10-24 17:20:27, 2025-10-24 17:20:49, 10, 130, WPA2, CCMP, PSK, -91,        3,        0,   0.  0.  0.  0,   4, LALA, 
38:91:48:09:B1:3E, 2025-10-24 17:20:29, 2025-10-24 17:20:35,  1, 130, WPA2, CCMP, PSK, -90,        2,        0,   0.  0.  0.  0,  11, Medinamecca, 
68:59:11:D6:25:28, 2025-10-24 17:20:35, 2025-10-24 17:20:45,  6, 130, WPA2, CCMP, PSK, -76,        4,        1,   0.  0.  0.  0,   5, VP D2, 
DC:99:14:13:AA:3C, 2025-10-24 17:20:39, 2025-10-24 17:20:45, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -91,        2,        0,   0.  0.  0.  0,  14, VILLA PANAM D1, 
EC:E7:A2:DF:06:E8, 2025-10-24 17:20:46, 2025-10-24 17:20:46,  1, 130, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,   7, DRAWING, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
44:D2:44:4E:AE:34, 2025-10-24 17:20:24, 2025-10-24 17:20:24, -29,        7, 84:15:D3:0A:67:38,
46:31:38:C9:71:5F, 2025-10-24 17:20:24, 2025-10-24 17:20:40, -86,        6, CC:2D:21:2A:23:01,
5A:68:F4:77:24:CE, 2025-10-24 17:20:24, 2025-10-24 17:20:44,  -1,       16, CC:2D:21:2A:23:01,
3A:5C:41:95:5D:0B, 2025-10-24 17:20:24, 2025-10-24 17:20:24, -88,        1, CC:2D:21:2A:23:01,
C6:85:99:90:F4:C8, 2025-10-24 17:20:24, 2025-10-24 17:20:46, -76,       58, C0:51:5C:E3:58:98,TWIN
BE:FA:7B:7C:4B:45, 2025-10-24 17:20:24, 2025-10-24 17:20:46, -90,      197, C0:51:5C:E3:58:98,
30:E7:BC:D8:FD:11, 2025-10-24 17:20:26, 2025-10-24 17:20:45, -90,       31, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 17:20:26, 2025-10-24 17:20:48,  -1,       33, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-24 17:20:26, 2025-10-24 17:20:49, -38,       22, 84:15:D3:0A:67:38,
16:B4:9B:8A:F9:83, 2025-10-24 17:20:26, 2025-10-24 17:20:49, -77,      186, 84:15:D3:0A:67:38,
DA:83:7D:D4:6D:30, 2025-10-24 17:20:27, 2025-10-24 17:20:28,  -1,        7, CC:2D:21:2A:23:01,
34:E9:11:4A:2F:3D, 2025-10-24 17:20:27, 2025-10-24 17:20:29,  -1,        3, CC:2D:21:2A:23:01,
C2:E8:B2:B0:5B:0E, 2025-10-24 17:20:27, 2025-10-24 17:20:28,  -1,        2, CC:2D:21:2A:23:01,
A0:F3:C1:2E:17:CB, 2025-10-24 17:20:28, 2025-10-24 17:20:33, -79,        6, CC:2D:21:2A:23:01,
A6:2F:EE:A2:78:FB, 2025-10-24 17:20:28, 2025-10-24 17:20:34,  -1,        4, CC:2D:21:2A:23:01,
F6:E1:4E:2A:1C:74, 2025-10-24 17:20:30, 2025-10-24 17:20:47, -82,        9, C0:51:5C:E3:58:98,
36:04:7F:C7:C4:73, 2025-10-24 17:20:30, 2025-10-24 17:20:30, -83,        2, (not associated) ,Nurul Fajar Online-5G
CA:43:1D:14:34:42, 2025-10-24 17:20:33, 2025-10-24 17:20:39,  -1,        2, CC:2D:21:2A:23:01,
BA:8E:56:20:97:C4, 2025-10-24 17:20:44, 2025-10-24 17:20:49, -21,       10, 84:15:D3:0A:67:38,
FE:21:B0:3A:4D:B7, 2025-10-24 17:20:46, 2025-10-24 17:20:46, -82,       21, C0:51:5C:E3:58:98,
70:B1:3D:98:DB:42, 2025-10-24 17:20:47, 2025-10-24 17:20:47, -78,        3, (not associated) ,
28:8C:B8:43:89:FC, 2025-10-24 17:20:48, 2025-10-24 17:20:48, -88,        1, (not associated) ,
DA:F7:C6:5A:F0:97, 2025-10-24 17:20:49, 2025-10-24 17:20:49, -76,        2, (not associated) ,

