
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-24 17:24:15, 2025-10-24 17:24:30,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -36,       29,      153,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-24 17:24:15, 2025-10-24 17:24:31,  5,  65, WPA2 WPA, CCMP, PSK, -77,       17,       19,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
46:D2:44:4E:2E:34, 2025-10-24 17:24:15, 2025-10-24 17:24:26,  1,  65, WPA2, CCMP, PSK, -33,        8,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-24 17:24:15, 2025-10-24 17:24:27,  1, 130, WPA2, CCMP, PSK, -85,        2,       50,   0.  0.  0.  0,   4, TWIN, 
04:95:E6:2B:F5:B8, 2025-10-24 17:24:15, 2025-10-24 17:24:31,  6, 130, WPA2, CCMP, PSK, -74,       10,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
68:59:11:D6:25:28, 2025-10-24 17:24:15, 2025-10-24 17:24:26,  6, 130, WPA2, CCMP, PSK, -81,        4,        0,   0.  0.  0.  0,   5, VP D2, 
92:DD:CC:95:15:CE, 2025-10-24 17:24:20, 2025-10-24 17:24:26, 12, 180, WPA2, CCMP, PSK, -90,        6,        0,   0.  0.  0.  0,   9, Redmi 14C, 
E0:A1:CE:F5:EB:DC, 2025-10-24 17:24:24, 2025-10-24 17:24:30, 10, 130, WPA2, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,   4, LALA, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
A0:F3:C1:2E:17:CB, 2025-10-24 17:24:15, 2025-10-24 17:24:19,  -1,        3, CC:2D:21:2A:23:01,
FE:21:B0:3A:4D:B7, 2025-10-24 17:24:15, 2025-10-24 17:24:26, -88,        8, C0:51:5C:E3:58:98,
BE:FA:7B:7C:4B:45, 2025-10-24 17:24:15, 2025-10-24 17:24:26, -82,       19, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 17:24:15, 2025-10-24 17:24:26, -79,       43, C0:51:5C:E3:58:98,
0A:85:2D:26:35:CC, 2025-10-24 17:24:15, 2025-10-24 17:24:27, -87,        3, C0:51:5C:E3:58:98,
16:B4:9B:8A:F9:83, 2025-10-24 17:24:16, 2025-10-24 17:24:19,  -1,       35, 84:15:D3:0A:67:38,
BA:8E:56:20:97:C4, 2025-10-24 17:24:17, 2025-10-24 17:24:17,  -1,       11, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 17:24:17, 2025-10-24 17:24:30, -79,        6, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-24 17:24:17, 2025-10-24 17:24:28,  -1,       92, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-24 17:24:17, 2025-10-24 17:24:28, -90,        6, 84:15:D3:0A:67:38,
66:D1:A7:17:31:6F, 2025-10-24 17:24:18, 2025-10-24 17:24:18, -75,        3, (not associated) ,
5A:68:F4:77:24:CE, 2025-10-24 17:24:18, 2025-10-24 17:24:30,  -1,        9, CC:2D:21:2A:23:01,
F6:E1:4E:2A:1C:74, 2025-10-24 17:24:20, 2025-10-24 17:24:27, -81,        7, C0:51:5C:E3:58:98,
C2:E8:B2:B0:5B:0E, 2025-10-24 17:24:25, 2025-10-24 17:24:30,  -1,        3, CC:2D:21:2A:23:01,
A6:2F:EE:A2:78:FB, 2025-10-24 17:24:25, 2025-10-24 17:24:25,  -1,        4, CC:2D:21:2A:23:01,
46:31:38:C9:71:5F, 2025-10-24 17:24:30, 2025-10-24 17:24:30, -90,        1, CC:2D:21:2A:23:01,
7E:5F:C0:C8:05:C4, 2025-10-24 17:24:31, 2025-10-24 17:24:31,  -1,        1, CC:2D:21:2A:23:01,

