
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-24 17:30:11, 2025-10-24 17:30:29,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -79,       31,       12,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-24 17:30:11, 2025-10-24 17:30:27,  5,  65, WPA2 WPA, CCMP, PSK, -73,       10,       42,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
C0:51:5C:E3:58:98, 2025-10-24 17:30:11, 2025-10-24 17:30:28,  1, 130, WPA2, CCMP, PSK, -88,        5,       15,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-24 17:30:11, 2025-10-24 17:30:28,  1,  65, WPA2, CCMP, PSK, -33,        6,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
38:91:48:09:B1:3E, 2025-10-24 17:30:11, 2025-10-24 17:30:28,  1, 130, WPA2, CCMP, PSK, -90,        4,        0,   0.  0.  0.  0,  11, Medinamecca, 
68:59:11:D6:25:28, 2025-10-24 17:30:12, 2025-10-24 17:30:29,  6, 130, WPA2, CCMP, PSK, -80,        8,        0,   0.  0.  0.  0,   5, VP D2, 
04:95:E6:2B:F5:B8, 2025-10-24 17:30:12, 2025-10-24 17:30:29,  6, 130, WPA2, CCMP, PSK, -75,        4,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
DC:99:14:13:AA:3C, 2025-10-24 17:30:16, 2025-10-24 17:30:27, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -90,        2,        0,   0.  0.  0.  0,  14, VILLA PANAM D1, 
EC:E7:A2:DF:06:E8, 2025-10-24 17:30:17, 2025-10-24 17:30:17,  1, 130, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,   7, DRAWING, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
46:31:38:C9:71:5F, 2025-10-24 17:30:11, 2025-10-24 17:30:27,  -1,       39, CC:2D:21:2A:23:01,
50:8A:06:C3:67:1F, 2025-10-24 17:30:11, 2025-10-24 17:30:15, -76,        4, 84:15:D3:0A:67:38,
BE:FA:7B:7C:4B:45, 2025-10-24 17:30:11, 2025-10-24 17:30:28, -85,       25, C0:51:5C:E3:58:98,
FE:21:B0:3A:4D:B7, 2025-10-24 17:30:11, 2025-10-24 17:30:28, -85,       19, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-24 17:30:11, 2025-10-24 17:30:28, -78,       12, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 17:30:11, 2025-10-24 17:30:28, -77,       20, C0:51:5C:E3:58:98,
70:B1:3D:98:DB:42, 2025-10-24 17:30:13, 2025-10-24 17:30:15, -78,       14, (not associated) ,MASJID NF ONLINE,AP-MASJID-NURULFAJAR
44:D2:44:4E:AE:34, 2025-10-24 17:30:13, 2025-10-24 17:30:27, -33,       20, 84:15:D3:0A:67:38,Nurul Fajar Onine-2.4G
A0:F3:C1:2E:17:CB, 2025-10-24 17:30:15, 2025-10-24 17:30:27, -75,        4, CC:2D:21:2A:23:01,NURULFAJAR-Online
34:E9:11:37:53:29, 2025-10-24 17:30:16, 2025-10-24 17:30:16, -90,        1, CC:2D:21:2A:23:01,
28:8C:B8:43:89:FC, 2025-10-24 17:30:18, 2025-10-24 17:30:18, -89,        1, (not associated) ,
DC:DF:D6:57:1C:CF, 2025-10-24 17:30:19, 2025-10-24 17:30:26, -37,        6, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-24 17:30:20, 2025-10-24 17:30:22, -81,        3, 84:15:D3:0A:67:38,
96:01:89:2B:FF:37, 2025-10-24 17:30:27, 2025-10-24 17:30:27, -78,        3, CC:2D:21:2A:23:01,
26:81:E5:22:CD:7F, 2025-10-24 17:30:27, 2025-10-24 17:30:27, -90,        1, 68:59:11:D6:25:28,
0A:85:2D:26:35:CC, 2025-10-24 17:30:28, 2025-10-24 17:30:28, -91,        1, C0:51:5C:E3:58:98,

