
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:51:5C:E3:58:98, 2025-10-24 22:07:15, 2025-10-24 22:07:21,  1, 130, WPA2, CCMP, PSK, -79,        2,        8,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-24 22:07:15, 2025-10-24 22:07:21,  1,  65, WPA2, CCMP, PSK, -30,        5,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
84:15:D3:0A:67:38, 2025-10-24 22:07:16, 2025-10-24 22:07:24,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -31,       15,       37,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-24 22:07:19, 2025-10-24 22:07:24,  5,  65, WPA2 WPA, CCMP, PSK, -73,        2,       12,   0.  0.  0.  0,  17, NURULFAJAR-Online, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C6:85:99:90:F4:C8, 2025-10-24 22:07:15, 2025-10-24 22:07:21, -77,       16, C0:51:5C:E3:58:98,
5A:6B:14:5A:47:AC, 2025-10-24 22:07:15, 2025-10-24 22:07:15, -86,        1, C0:51:5C:E3:58:98,
DC:DF:D6:57:1C:CF, 2025-10-24 22:07:16, 2025-10-24 22:07:24, -35,        5, 84:15:D3:0A:67:38,
B2:28:75:DB:03:BB, 2025-10-24 22:07:17, 2025-10-24 22:07:24,  -1,       31, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 22:07:18, 2025-10-24 22:07:18, -82,        1, 84:15:D3:0A:67:38,
7E:8C:33:5F:B9:4E, 2025-10-24 22:07:19, 2025-10-24 22:07:23,  -1,        6, CC:2D:21:2A:23:01,
34:E9:11:37:53:29, 2025-10-24 22:07:19, 2025-10-24 22:07:23,  -1,        3, CC:2D:21:2A:23:01,
34:E9:11:4A:2F:3D, 2025-10-24 22:07:19, 2025-10-24 22:07:19,  -1,        1, CC:2D:21:2A:23:01,
7A:E2:55:F7:19:80, 2025-10-24 22:07:19, 2025-10-24 22:07:19,  -1,        2, CC:2D:21:2A:23:01,
E8:B1:FC:60:16:D4, 2025-10-24 22:07:20, 2025-10-24 22:07:24, -50,        5, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-24 22:07:23, 2025-10-24 22:07:23, -77,        1, 84:15:D3:0A:67:38,

