
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:51:5C:E3:58:98, 2025-10-24 23:20:57, 2025-10-24 23:21:04,  1, 130, WPA2, CCMP, PSK, -78,        3,       33,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-24 23:20:57, 2025-10-24 23:21:03,  1,  65, WPA2, CCMP, PSK, -31,        3,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
84:15:D3:0A:67:38, 2025-10-24 23:20:59, 2025-10-24 23:21:06,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -35,       20,       18,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
38:91:48:09:B1:3E, 2025-10-24 23:21:00, 2025-10-24 23:21:06,  9, 130, WPA2, CCMP, PSK, -88,        4,        0,   0.  0.  0.  0,  11, Medinamecca, 
CC:2D:21:2A:23:01, 2025-10-24 23:21:00, 2025-10-24 23:21:06,  5,  65, WPA2 WPA, CCMP, PSK, -73,        7,        0,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
04:95:E6:2B:F5:B8, 2025-10-24 23:21:01, 2025-10-24 23:21:02,  6, 130, WPA2, CCMP, PSK, -75,        4,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
68:59:11:D6:25:28, 2025-10-24 23:21:02, 2025-10-24 23:21:02,  6, 130, WPA2, CCMP, PSK, -84,        2,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C6:85:99:90:F4:C8, 2025-10-24 23:20:57, 2025-10-24 23:21:04, -73,       24, C0:51:5C:E3:58:98,TWIN
A6:B3:9B:6C:8E:6F, 2025-10-24 23:20:57, 2025-10-24 23:21:03,  -1,       28, C0:51:5C:E3:58:98,
D4:63:DE:DF:90:BC, 2025-10-24 23:20:57, 2025-10-24 23:21:03, -85,        4, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-24 23:20:57, 2025-10-24 23:21:03, -82,        9, C0:51:5C:E3:58:98,
DC:DF:D6:57:1C:CF, 2025-10-24 23:20:59, 2025-10-24 23:21:06, -31,        7, 84:15:D3:0A:67:38,
BE:61:EC:8B:17:A0, 2025-10-24 23:20:59, 2025-10-24 23:21:06,  -1,        3, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 23:21:00, 2025-10-24 23:21:06, -79,        3, 84:15:D3:0A:67:38,
E8:B1:FC:60:16:D4, 2025-10-24 23:21:01, 2025-10-24 23:21:06, -55,        7, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-24 23:21:01, 2025-10-24 23:21:06, -76,        3, 84:15:D3:0A:67:38,
2C:3B:70:5C:D4:8F, 2025-10-24 23:21:05, 2025-10-24 23:21:06,  -1,        2, 84:15:D3:0A:67:38,
B2:28:75:DB:03:BB, 2025-10-24 23:21:05, 2025-10-24 23:21:05,  -1,        2, 84:15:D3:0A:67:38,

