
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:51:5C:E3:58:98, 2025-10-24 23:21:50, 2025-10-24 23:23:34,  1, 130, WPA2, CCMP, PSK, -82,       13,      148,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-24 23:21:50, 2025-10-24 23:23:37,  1,  65, WPA2, CCMP, PSK, -34,       31,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
84:15:D3:0A:67:38, 2025-10-24 23:21:51, 2025-10-24 23:23:37,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -35,      216,      354,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
38:91:48:09:B1:3E, 2025-10-24 23:21:53, 2025-10-24 23:23:37,  9, 130, WPA2, CCMP, PSK, -90,       13,        0,   0.  0.  0.  0,  11, Medinamecca, 
CC:2D:21:2A:23:01, 2025-10-24 23:21:53, 2025-10-24 23:23:37,  5,  65, WPA2 WPA, CCMP, PSK, -74,       91,       56,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
04:95:E6:2B:F5:B8, 2025-10-24 23:21:55, 2025-10-24 23:23:34,  6, 130, WPA2, CCMP, PSK, -75,       44,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
68:59:11:D6:25:28, 2025-10-24 23:21:55, 2025-10-24 23:23:34,  6, 130, WPA2, CCMP, PSK, -88,        8,        1,   0.  0.  0.  0,   5, VP D2, 
DC:99:14:13:AA:3C, 2025-10-24 23:22:00, 2025-10-24 23:22:49, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -90,        5,        1,   0.  0.  0.  0,  14, VILLA PANAM D1, 
02:40:E2:13:09:DE, 2025-10-24 23:22:21, 2025-10-24 23:22:21,  5, 180, WPA2, CCMP, PSK, -83,        2,        0,   0.  0.  0.  0,   8, realme 3, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
08:7F:98:E8:CD:EB, 2025-10-24 23:21:50, 2025-10-24 23:23:29, -83,       20, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 23:21:50, 2025-10-24 23:23:34, -73,      160, C0:51:5C:E3:58:98,
A6:B3:9B:6C:8E:6F, 2025-10-24 23:21:50, 2025-10-24 23:23:29, -87,       77, C0:51:5C:E3:58:98,
D4:63:DE:DF:90:BC, 2025-10-24 23:21:50, 2025-10-24 23:23:07, -89,       15, C0:51:5C:E3:58:98,
42:B5:15:9A:74:CB, 2025-10-24 23:21:50, 2025-10-24 23:23:27, -85,        4, C0:51:5C:E3:58:98,
E8:B1:FC:60:16:D4, 2025-10-24 23:21:52, 2025-10-24 23:23:37, -40,       37, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 23:21:53, 2025-10-24 23:22:59,  -1,       18, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-24 23:21:53, 2025-10-24 23:23:32, -77,       48, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-24 23:21:53, 2025-10-24 23:23:33, -34,       70, 84:15:D3:0A:67:38,
2C:3B:70:5C:D4:8F, 2025-10-24 23:21:53, 2025-10-24 23:23:33, -40,       40, 84:15:D3:0A:67:38,
B2:28:75:DB:03:BB, 2025-10-24 23:21:53, 2025-10-24 23:23:33, -84,       68, 84:15:D3:0A:67:38,
BE:61:EC:8B:17:A0, 2025-10-24 23:22:03, 2025-10-24 23:23:31, -82,       79, 84:15:D3:0A:67:38,
DA:83:7D:D4:6D:30, 2025-10-24 23:22:04, 2025-10-24 23:23:28,  -1,       41, CC:2D:21:2A:23:01,
76:BE:41:A6:42:B9, 2025-10-24 23:22:05, 2025-10-24 23:23:03, -90,        4, CC:2D:21:2A:23:01,NURULFAJAR-Online
44:D2:44:4E:AE:34, 2025-10-24 23:22:25, 2025-10-24 23:23:37, -29,      124, 84:15:D3:0A:67:38,Nurul Fajar Onine-2.4G
34:E9:11:4A:2F:3D, 2025-10-24 23:22:37, 2025-10-24 23:22:43,  -1,        4, CC:2D:21:2A:23:01,
3E:5D:5C:55:BE:C1, 2025-10-24 23:23:23, 2025-10-24 23:23:23, -87,        1, C0:51:5C:E3:58:98,
5A:6B:14:5A:47:AC, 2025-10-24 23:23:29, 2025-10-24 23:23:29, -91,        3, C0:51:5C:E3:58:98,TWIN

