
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:51:5C:E3:58:98, 2025-10-24 23:25:17, 2025-10-24 23:25:29,  1, 130, WPA2, CCMP, PSK, -78,        5,       22,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-24 23:25:17, 2025-10-24 23:25:22,  1,  65, WPA2, CCMP, PSK, -28,        5,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
84:15:D3:0A:67:38, 2025-10-24 23:25:17, 2025-10-24 23:25:33,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -62,       41,       63,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
38:91:48:09:B1:3E, 2025-10-24 23:25:19, 2025-10-24 23:25:31,  9, 130, WPA2, CCMP, PSK, -90,        4,        0,   0.  0.  0.  0,  11, Medinamecca, 
CC:2D:21:2A:23:01, 2025-10-24 23:25:20, 2025-10-24 23:25:32,  5,  65, WPA2 WPA, CCMP, PSK, -70,        8,       26,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
04:95:E6:2B:F5:B8, 2025-10-24 23:25:21, 2025-10-24 23:25:33,  6, 130, WPA2, CCMP, PSK, -74,        4,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
68:59:11:D6:25:28, 2025-10-24 23:25:22, 2025-10-24 23:25:22,  6, 130, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,   5, VP D2, 
EC:E7:A2:DF:06:E9, 2025-10-24 23:25:22, 2025-10-24 23:25:28,  1,  -1, , ,   , -89,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
08:7F:98:E8:CD:EB, 2025-10-24 23:25:17, 2025-10-24 23:25:17, -90,        2, C0:51:5C:E3:58:98,
A6:B3:9B:6C:8E:6F, 2025-10-24 23:25:17, 2025-10-24 23:25:17, -91,        8, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-24 23:25:17, 2025-10-24 23:25:29, -71,       47, C0:51:5C:E3:58:98,
42:B5:15:9A:74:CB, 2025-10-24 23:25:17, 2025-10-24 23:25:28, -90,        2, C0:51:5C:E3:58:98,
44:D2:44:4E:AE:34, 2025-10-24 23:25:17, 2025-10-24 23:25:30, -31,        9, 84:15:D3:0A:67:38,
E8:B1:FC:60:16:D4, 2025-10-24 23:25:19, 2025-10-24 23:25:32, -42,       33, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-24 23:25:19, 2025-10-24 23:25:31,  -1,        5, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-24 23:25:19, 2025-10-24 23:25:31, -81,        5, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-24 23:25:19, 2025-10-24 23:25:31, -34,       10, 84:15:D3:0A:67:38,
2C:3B:70:5C:D4:8F, 2025-10-24 23:25:19, 2025-10-24 23:25:31, -40,        6, 84:15:D3:0A:67:38,
B2:28:75:DB:03:BB, 2025-10-24 23:25:20, 2025-10-24 23:25:31, -84,       10, 84:15:D3:0A:67:38,
BE:61:EC:8B:17:A0, 2025-10-24 23:25:20, 2025-10-24 23:25:31, -83,        3, 84:15:D3:0A:67:38,
BA:D1:7B:1A:2F:B7, 2025-10-24 23:25:22, 2025-10-24 23:25:22, -89,        2, C0:51:5C:E3:58:98,
46:A8:05:F2:A2:02, 2025-10-24 23:25:26, 2025-10-24 23:25:26, -76,        1, (not associated) ,
72:6D:21:D1:46:81, 2025-10-24 23:25:26, 2025-10-24 23:25:32,  -1,       25, CC:2D:21:2A:23:01,
AE:53:00:32:D7:9E, 2025-10-24 23:25:27, 2025-10-24 23:25:27, -85,        2, (not associated) ,
56:E3:0C:6D:22:25, 2025-10-24 23:25:28, 2025-10-24 23:25:28,  -1,        4, EC:E7:A2:DF:06:E9,
E4:A7:A0:56:44:AB, 2025-10-24 23:25:32, 2025-10-24 23:25:32, -65,        1, (not associated) ,Nurul Fajar Online-5G

