
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-24 23:28:18, 2025-10-24 23:28:19,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -67,        3,        0,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-24 23:28:18, 2025-10-24 23:28:18,  5,  65, WPA2 WPA, CCMP, PSK, -69,        2,        0,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
46:D2:44:4E:2E:34, 2025-10-24 23:28:18, 2025-10-24 23:28:18,  1,  65, WPA2, CCMP, PSK, -31,        3,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-24 23:28:18, 2025-10-24 23:28:18,  1,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
EC:E7:A2:DF:06:E9, 2025-10-24 23:28:18, 2025-10-24 23:28:18, -1,  -1, , ,   , -88,        0,        0,   0.  0.  0.  0,   0, , 
04:95:E6:2B:F5:B8, 2025-10-24 23:28:18, 2025-10-24 23:28:18,  6, 130, WPA2, CCMP, PSK, -77,        1,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E8:B1:FC:60:16:D4, 2025-10-24 23:28:18, 2025-10-24 23:28:18, -43,        1, 84:15:D3:0A:67:38,
2C:3B:70:5C:D4:8F, 2025-10-24 23:28:18, 2025-10-24 23:28:18, -42,        1, 84:15:D3:0A:67:38,
C6:85:99:90:F4:C8, 2025-10-24 23:28:18, 2025-10-24 23:28:18, -73,        3, C0:51:5C:E3:58:98,

