
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
46:D2:44:4E:2E:34, 2025-10-24 23:58:10, 2025-10-24 23:58:10,  1,  65, WPA2, CCMP, PSK, -30,        2,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-24 23:58:10, 2025-10-24 23:58:14,  1, 130, WPA2, CCMP, PSK, -80,        2,       11,   0.  0.  0.  0,   4, TWIN, 
84:15:D3:0A:67:38, 2025-10-24 23:58:11, 2025-10-24 23:58:15,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -63,       15,      123,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-24 23:58:13, 2025-10-24 23:58:15,  5,  65, WPA2 WPA, CCMP, PSK, -70,        5,       12,   0.  0.  0.  0,  17, NURULFAJAR-Online, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C6:85:99:90:F4:C8, 2025-10-24 23:58:10, 2025-10-24 23:58:10, -74,        8, C0:51:5C:E3:58:98,
5A:6B:14:5A:47:AC, 2025-10-24 23:58:10, 2025-10-24 23:58:10, -87,        1, C0:51:5C:E3:58:98,
42:B5:15:9A:74:CB, 2025-10-24 23:58:10, 2025-10-24 23:58:10, -86,        1, C0:51:5C:E3:58:98,
A6:B3:9B:6C:8E:6F, 2025-10-24 23:58:10, 2025-10-24 23:58:10,  -1,        6, C0:51:5C:E3:58:98,
B2:28:75:DB:03:BB, 2025-10-24 23:58:12, 2025-10-24 23:58:13, -85,        2, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-24 23:58:12, 2025-10-24 23:58:14, -34,        5, 84:15:D3:0A:67:38,
E8:B1:FC:60:16:D4, 2025-10-24 23:58:12, 2025-10-24 23:58:15,  -1,      120, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-24 23:58:12, 2025-10-24 23:58:12, -87,        1, 84:15:D3:0A:67:38,
2C:3B:70:5C:D4:8F, 2025-10-24 23:58:12, 2025-10-24 23:58:12, -50,        1, 84:15:D3:0A:67:38,
DA:83:7D:D4:6D:30, 2025-10-24 23:58:13, 2025-10-24 23:58:14,  -1,       12, CC:2D:21:2A:23:01,
26:83:6B:C8:FC:5E, 2025-10-24 23:58:14, 2025-10-24 23:58:14, -66,        1, C0:51:5C:E3:58:98,

