
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:51:5C:E3:58:98, 2025-10-25 00:29:40, 2025-10-25 00:29:58,  1, 130, WPA2, CCMP, PSK, -76,       12,       30,   0.  0.  0.  0,   4, TWIN, 
04:95:E6:2B:F5:B8, 2025-10-25 00:29:40, 2025-10-25 00:29:57,  6, 130, WPA2, CCMP, PSK, -79,       13,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
84:15:D3:0A:67:38, 2025-10-25 00:29:41, 2025-10-25 00:30:00,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -34,       57,       27,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 00:29:43, 2025-10-25 00:30:00,  5,  65, WPA2 WPA, CCMP, PSK, -68,       25,        1,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
CE:5E:67:4C:28:35, 2025-10-25 00:29:44, 2025-10-25 00:29:44, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
68:59:11:D6:25:28, 2025-10-25 00:29:45, 2025-10-25 00:29:56,  6, 130, WPA2, CCMP, PSK, -86,        6,        0,   0.  0.  0.  0,   5, VP D2, 
48:A6:4E:6A:C9:E9, 2025-10-25 00:29:45, 2025-10-25 00:29:45,  1,  -1, WPA, ,   , -88,        0,        1,   0.  0.  0.  0,   0, , 
46:D2:44:4E:2E:34, 2025-10-25 00:29:46, 2025-10-25 00:29:57,  1,  65, WPA2, CCMP, PSK, -29,        6,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
EC:E7:A2:DF:06:E9, 2025-10-25 00:29:46, 2025-10-25 00:29:56,  1, 130, WPA2 WPA, CCMP, PSK, -91,        2,        0,   0.  0.  0.  0,   3, SCC, 
E0:A1:CE:F5:EB:DC, 2025-10-25 00:29:53, 2025-10-25 00:29:53,  8, 130, WPA2, CCMP, PSK, -93,        2,        0,   0.  0.  0.  0,   4, LALA, 
EC:E7:A2:DF:06:E8, 2025-10-25 00:29:56, 2025-10-25 00:29:56,  1, 130, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,   7, DRAWING, 
3C:F8:08:21:CB:08, 2025-10-25 00:29:58, 2025-10-25 00:29:58,  2, 130, WPA2, CCMP TKIP, PSK, -92,        1,        0,   0.  0.  0.  0,   2, D9, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C6:85:99:90:F4:C8, 2025-10-25 00:29:40, 2025-10-25 00:29:57, -74,       57, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-25 00:29:40, 2025-10-25 00:29:58, -83,       37, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 00:29:40, 2025-10-25 00:29:58, -82,        5, C0:51:5C:E3:58:98,
36:24:E3:09:63:FC, 2025-10-25 00:29:40, 2025-10-25 00:29:57, -82,       17, C0:51:5C:E3:58:98,
BA:D1:7B:1A:2F:B7, 2025-10-25 00:29:40, 2025-10-25 00:29:51, -88,        4, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 00:29:40, 2025-10-25 00:29:57, -79,       11, C0:51:5C:E3:58:98,
44:D2:44:4E:AE:34, 2025-10-25 00:29:42, 2025-10-25 00:29:59, -32,       16, 84:15:D3:0A:67:38,
9E:95:BB:71:A3:D2, 2025-10-25 00:29:42, 2025-10-25 00:29:42, -69,        1, (not associated) ,
30:E7:BC:D8:FD:11, 2025-10-25 00:29:44, 2025-10-25 00:30:00, -66,        8, 84:15:D3:0A:67:38,
42:B5:15:9A:74:CB, 2025-10-25 00:29:45, 2025-10-25 00:29:57, -88,        6, C0:51:5C:E3:58:98,
D4:63:DE:DF:90:BC, 2025-10-25 00:29:46, 2025-10-25 00:29:46, -89,        1, C0:51:5C:E3:58:98,
DC:DF:D6:57:1C:CF, 2025-10-25 00:29:48, 2025-10-25 00:29:54, -30,        9, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-25 00:29:49, 2025-10-25 00:29:54,  -1,        3, 84:15:D3:0A:67:38,
2C:3B:70:5C:D4:8F, 2025-10-25 00:29:49, 2025-10-25 00:29:54, -40,        5, 84:15:D3:0A:67:38,
BE:61:EC:8B:17:A0, 2025-10-25 00:29:50, 2025-10-25 00:29:50,  -1,        1, 84:15:D3:0A:67:38,
2A:8A:AA:F7:22:42, 2025-10-25 00:29:56, 2025-10-25 00:29:57, -67,        4, (not associated) ,Devi Harmi

