
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 00:33:19, 2025-10-25 00:33:25,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -58,       15,        6,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 00:33:19, 2025-10-25 00:33:24,  5,  65, WPA2 WPA, CCMP, PSK, -68,        8,        0,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
C0:51:5C:E3:58:98, 2025-10-25 00:33:20, 2025-10-25 00:33:25,  1, 130, WPA2, CCMP, PSK, -77,        4,        7,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-25 00:33:20, 2025-10-25 00:33:25,  1,  65, WPA2, CCMP, PSK, -31,        3,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
EC:E7:A2:DF:06:E9, 2025-10-25 00:33:20, 2025-10-25 00:33:20, -1,  -1, , ,   , -88,        0,        0,   0.  0.  0.  0,   0, , 
68:59:11:D6:25:28, 2025-10-25 00:33:24, 2025-10-25 00:33:24,  6, 130, WPA2, CCMP, PSK, -85,        3,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
BA:D1:7B:1A:2F:B7, 2025-10-25 00:33:20, 2025-10-25 00:33:25, -90,        2, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-25 00:33:20, 2025-10-25 00:33:25, -73,       13, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 00:33:20, 2025-10-25 00:33:25, -78,        7, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 00:33:20, 2025-10-25 00:33:25, -65,       10, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-25 00:33:20, 2025-10-25 00:33:25, -81,        7, C0:51:5C:E3:58:98,
42:B5:15:9A:74:CB, 2025-10-25 00:33:20, 2025-10-25 00:33:25, -89,        2, C0:51:5C:E3:58:98,
36:24:E3:09:63:FC, 2025-10-25 00:33:20, 2025-10-25 00:33:25, -80,        4, C0:51:5C:E3:58:98,
50:8A:06:C3:67:1F, 2025-10-25 00:33:21, 2025-10-25 00:33:22,  -1,        2, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-25 00:33:21, 2025-10-25 00:33:23, -75,        4, 84:15:D3:0A:67:38,
2C:3B:70:5C:D4:8F, 2025-10-25 00:33:21, 2025-10-25 00:33:22,  -1,        2, 84:15:D3:0A:67:38,
E4:A7:A0:56:44:AB, 2025-10-25 00:33:24, 2025-10-25 00:33:25, -31,        3, (not associated) ,Nurul Fajar Online-5G

