
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 00:34:19, 2025-10-25 00:34:24,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -72,       14,        9,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 00:34:19, 2025-10-25 00:34:24,  5,  65, WPA2 WPA, CCMP, PSK, -70,        8,        0,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
C0:51:5C:E3:58:98, 2025-10-25 00:34:19, 2025-10-25 00:34:23,  1, 130, WPA2, CCMP, PSK, -83,        2,        6,   0.  0.  0.  0,   4, TWIN, 
EC:E7:A2:DF:06:E9, 2025-10-25 00:34:20, 2025-10-25 00:34:20, -1,  -1, , ,   , -87,        0,        0,   0.  0.  0.  0,   0, , 
46:D2:44:4E:2E:34, 2025-10-25 00:34:20, 2025-10-25 00:34:20,  1,  65, WPA2, CCMP, PSK, -31,        2,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
38:91:48:09:B1:3E, 2025-10-25 00:34:22, 2025-10-25 00:34:22,  9, 130, WPA2, CCMP, PSK, -89,        2,        0,   0.  0.  0.  0,  11, Medinamecca, 
DC:99:14:13:AA:3C, 2025-10-25 00:34:24, 2025-10-25 00:34:24, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -92,        1,        0,   0.  0.  0.  0,  14, VILLA PANAM D1, 
68:59:11:D6:25:28, 2025-10-25 00:34:24, 2025-10-25 00:34:24,  6, 130, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B2:28:75:DB:03:BB, 2025-10-25 00:34:19, 2025-10-25 00:34:19, -87,        3, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-25 00:34:19, 2025-10-25 00:34:19,  -1,        2, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-25 00:34:19, 2025-10-25 00:34:24, -76,        7, 84:15:D3:0A:67:38,
2C:3B:70:5C:D4:8F, 2025-10-25 00:34:19, 2025-10-25 00:34:19,  -1,        1, 84:15:D3:0A:67:38,
36:24:E3:09:63:FC, 2025-10-25 00:34:20, 2025-10-25 00:34:21, -78,        8, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 00:34:20, 2025-10-25 00:34:21, -67,        4, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-25 00:34:20, 2025-10-25 00:34:21, -87,        6, C0:51:5C:E3:58:98,
A6:B3:9B:6C:8E:6F, 2025-10-25 00:34:20, 2025-10-25 00:34:20,  -1,        4, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-25 00:34:20, 2025-10-25 00:34:23, -69,        9, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 00:34:20, 2025-10-25 00:34:20, -82,        1, C0:51:5C:E3:58:98,

