
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
CC:2D:21:2A:23:01, 2025-10-25 00:35:29, 2025-10-25 00:35:33,  5,  65, WPA2 WPA, CCMP, PSK, -70,        4,        1,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
84:15:D3:0A:67:38, 2025-10-25 00:35:29, 2025-10-25 00:35:35,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -60,       16,        2,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
46:D2:44:4E:2E:34, 2025-10-25 00:35:29, 2025-10-25 00:35:30,  1,  65, WPA2, CCMP, PSK, -30,        3,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-25 00:35:29, 2025-10-25 00:35:32,  1, 130, WPA2, CCMP, PSK, -80,        3,       22,   0.  0.  0.  0,   4, TWIN, 
04:95:E6:2B:F5:B8, 2025-10-25 00:35:30, 2025-10-25 00:35:34,  6, 130, WPA2, CCMP, PSK, -76,        2,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
38:91:48:09:B1:3E, 2025-10-25 00:35:32, 2025-10-25 00:35:32,  9, 130, WPA2, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,  11, Medinamecca, 
68:59:11:D6:25:28, 2025-10-25 00:35:34, 2025-10-25 00:35:34,  6, 130, WPA2, CCMP, PSK, -84,        3,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C6:85:99:90:F4:C8, 2025-10-25 00:35:29, 2025-10-25 00:35:32, -83,       23, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 00:35:29, 2025-10-25 00:35:30, -72,        3, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-25 00:35:29, 2025-10-25 00:35:30, -82,        9, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 00:35:29, 2025-10-25 00:35:30, -68,       10, C0:51:5C:E3:58:98,
36:24:E3:09:63:FC, 2025-10-25 00:35:30, 2025-10-25 00:35:30, -79,        6, C0:51:5C:E3:58:98,
BA:D1:7B:1A:2F:B7, 2025-10-25 00:35:30, 2025-10-25 00:35:30, -90,        1, C0:51:5C:E3:58:98,
30:E7:BC:D8:FD:11, 2025-10-25 00:35:31, 2025-10-25 00:35:32, -70,        2, 84:15:D3:0A:67:38,
2C:3B:70:5C:D4:8F, 2025-10-25 00:35:32, 2025-10-25 00:35:32,  -1,        1, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-25 00:35:33, 2025-10-25 00:35:33,  -1,        1, 84:15:D3:0A:67:38,
34:E9:11:4A:2F:3D, 2025-10-25 00:35:33, 2025-10-25 00:35:33,  -1,        1, CC:2D:21:2A:23:01,

