
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 00:37:56, 2025-10-25 00:38:01,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -55,       15,        2,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
7A:16:58:22:E9:54, 2025-10-25 00:37:56, 2025-10-25 00:38:00,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -72,        3,        0,   0.  0.  0.  0,  17, Chairnisaaaaa💐, 
CC:2D:21:2A:23:01, 2025-10-25 00:37:56, 2025-10-25 00:38:01,  5,  65, WPA2 WPA, CCMP, PSK, -69,        8,       10,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
C0:51:5C:E3:58:98, 2025-10-25 00:37:56, 2025-10-25 00:37:58,  1, 130, WPA2, CCMP, PSK, -83,        4,        7,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-25 00:37:56, 2025-10-25 00:37:56,  1,  65, WPA2, CCMP, PSK, -31,        2,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
04:95:E6:2B:F5:B8, 2025-10-25 00:37:57, 2025-10-25 00:38:01,  6, 130, WPA2, CCMP, PSK, -77,        2,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
38:91:48:09:B1:3E, 2025-10-25 00:37:59, 2025-10-25 00:37:59,  9, 130, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  11, Medinamecca, 
68:59:11:D6:25:28, 2025-10-25 00:38:01, 2025-10-25 00:38:01,  6, 130, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
08:7F:98:E8:CD:EB, 2025-10-25 00:37:56, 2025-10-25 00:37:57, -82,        3, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 00:37:56, 2025-10-25 00:37:56, -79,        1, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-25 00:37:56, 2025-10-25 00:37:57, -82,        9, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-25 00:37:56, 2025-10-25 00:37:58, -78,       12, C0:51:5C:E3:58:98,
42:B5:15:9A:74:CB, 2025-10-25 00:37:56, 2025-10-25 00:37:56, -88,        1, C0:51:5C:E3:58:98,
FE:21:B0:3A:4D:B7, 2025-10-25 00:37:56, 2025-10-25 00:37:56, -87,        1, C0:51:5C:E3:58:98,
36:24:E3:09:63:FC, 2025-10-25 00:37:56, 2025-10-25 00:37:56, -81,        1, C0:51:5C:E3:58:98,
DC:DF:D6:57:1C:CF, 2025-10-25 00:37:58, 2025-10-25 00:37:59, -35,        4, 84:15:D3:0A:67:38,
E4:A7:A0:56:44:AB, 2025-10-25 00:37:58, 2025-10-25 00:37:58, -64,        5, (not associated) ,Nurul Fajar Online-5G
30:E7:BC:D8:FD:11, 2025-10-25 00:37:58, 2025-10-25 00:37:58, -73,        1, 84:15:D3:0A:67:38,
7A:E2:55:F7:19:80, 2025-10-25 00:38:00, 2025-10-25 00:38:00,  -1,        9, CC:2D:21:2A:23:01,
72:6D:21:D1:46:81, 2025-10-25 00:38:00, 2025-10-25 00:38:00,  -1,        1, CC:2D:21:2A:23:01,
50:8A:06:C3:67:1F, 2025-10-25 00:38:00, 2025-10-25 00:38:00,  -1,        1, 84:15:D3:0A:67:38,

