
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
7A:16:58:22:E9:54, 2025-10-25 00:39:30, 2025-10-25 00:39:35,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -68,        8,        0,   0.  0.  0.  0,  17, Chairnisaaaaa💐, 
CC:2D:21:2A:23:01, 2025-10-25 00:39:30, 2025-10-25 00:39:35,  5,  65, WPA2 WPA, CCMP, PSK, -69,        6,        0,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
68:59:11:D6:25:28, 2025-10-25 00:39:30, 2025-10-25 00:39:35,  6, 130, WPA2, CCMP, PSK, -87,        3,        0,   0.  0.  0.  0,   5, VP D2, 
04:95:E6:2B:F5:B8, 2025-10-25 00:39:30, 2025-10-25 00:39:35,  6, 130, WPA2, CCMP, PSK, -78,        3,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
C0:51:5C:E3:58:98, 2025-10-25 00:39:30, 2025-10-25 00:39:33,  1, 130, WPA2, CCMP, PSK, -84,        3,       22,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-25 00:39:30, 2025-10-25 00:39:31,  1,  65, WPA2, CCMP, PSK, -28,        3,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
84:15:D3:0A:67:38, 2025-10-25 00:39:30, 2025-10-25 00:39:35,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -58,       18,       13,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
38:91:48:09:B1:3E, 2025-10-25 00:39:32, 2025-10-25 00:39:32,  9, 130, WPA2, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,  11, Medinamecca, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F2:27:09:CA:51:39, 2025-10-25 00:39:30, 2025-10-25 00:39:35, -67,       19, 7A:16:58:22:E9:54,
08:7F:98:E8:CD:EB, 2025-10-25 00:39:30, 2025-10-25 00:39:31, -78,       22, C0:51:5C:E3:58:98,
36:24:E3:09:63:FC, 2025-10-25 00:39:30, 2025-10-25 00:39:30, -81,        2, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 00:39:30, 2025-10-25 00:39:31, -77,        3, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-25 00:39:30, 2025-10-25 00:39:33, -70,        6, C0:51:5C:E3:58:98,
D4:63:DE:DF:90:BC, 2025-10-25 00:39:30, 2025-10-25 00:39:30, -88,        2, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-25 00:39:30, 2025-10-25 00:39:31, -82,        5, C0:51:5C:E3:58:98,
D2:55:12:66:97:B6, 2025-10-25 00:39:31, 2025-10-25 00:39:31, -79,        3, (not associated) ,
30:E7:BC:D8:FD:11, 2025-10-25 00:39:32, 2025-10-25 00:39:32, -83,        1, 84:15:D3:0A:67:38,
44:D2:44:4E:AE:34, 2025-10-25 00:39:33, 2025-10-25 00:39:34,  -1,       13, 84:15:D3:0A:67:38,

