
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 00:44:55, 2025-10-25 00:45:15,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -38,       52,       19,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
46:D2:44:4E:2E:34, 2025-10-25 00:44:56, 2025-10-25 00:45:13,  1,  65, WPA2, CCMP, PSK, -32,       10,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-25 00:44:56, 2025-10-25 00:45:14,  1, 130, WPA2, CCMP, PSK, -81,       16,        0,   0.  0.  0.  0,   4, TWIN, 
EC:E7:A2:DF:06:E9, 2025-10-25 00:44:56, 2025-10-25 00:44:56, -1,  -1, , ,   , -89,        0,        0,   0.  0.  0.  0,   0, , 
7A:16:58:22:E9:54, 2025-10-25 00:44:56, 2025-10-25 00:45:13,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -65,       19,        0,   0.  0.  0.  0,  17, Chairnisaaaaa💐, 
38:91:48:09:B1:3E, 2025-10-25 00:44:58, 2025-10-25 00:45:10,  9, 130, WPA2, CCMP, PSK, -89,        6,        0,   0.  0.  0.  0,  11, Medinamecca, 
CC:2D:21:2A:23:01, 2025-10-25 00:44:59, 2025-10-25 00:45:12,  5,  65, WPA2 WPA, CCMP, PSK, -70,       17,        0,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
04:95:E6:2B:F5:B8, 2025-10-25 00:45:00, 2025-10-25 00:45:13,  6, 130, WPA2, CCMP, PSK, -76,       12,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
BA:F1:49:D1:99:64, 2025-10-25 00:45:02, 2025-10-25 00:45:02, 13,  54, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,  13, vivo Y19s Pro, 
68:59:11:D6:25:28, 2025-10-25 00:45:06, 2025-10-25 00:45:12,  6, 130, WPA2, CCMP, PSK, -90,        2,        0,   0.  0.  0.  0,   5, VP D2, 
3C:F8:08:21:CB:08, 2025-10-25 00:45:14, 2025-10-25 00:45:14,  2, 130, WPA2, CCMP TKIP, PSK, -93,        1,        0,   0.  0.  0.  0,   2, D9, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C6:85:99:90:F4:C8, 2025-10-25 00:44:56, 2025-10-25 00:45:12, -79,       22, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-25 00:44:56, 2025-10-25 00:45:14, -85,       36, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 00:44:56, 2025-10-25 00:45:14, -78,       18, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 00:44:56, 2025-10-25 00:45:14, -75,       13, C0:51:5C:E3:58:98,
F2:27:09:CA:51:39, 2025-10-25 00:44:56, 2025-10-25 00:45:13, -71,      126, 7A:16:58:22:E9:54,
DC:DF:D6:57:1C:CF, 2025-10-25 00:44:57, 2025-10-25 00:45:15, -33,       12, 84:15:D3:0A:67:38,
2C:3B:70:5C:D4:8F, 2025-10-25 00:44:57, 2025-10-25 00:45:14, -37,        3, 84:15:D3:0A:67:38,
E4:A7:A0:56:44:AB, 2025-10-25 00:44:58, 2025-10-25 00:44:58, -61,        2, (not associated) ,Nurul Fajar Online-5G
B2:28:75:DB:03:BB, 2025-10-25 00:44:58, 2025-10-25 00:45:14, -84,        6, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-25 00:44:58, 2025-10-25 00:45:15, -72,       11, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-25 00:45:04, 2025-10-25 00:45:15,  -1,        6, 84:15:D3:0A:67:38,
FE:21:B0:3A:4D:B7, 2025-10-25 00:45:12, 2025-10-25 00:45:12, -87,        5, C0:51:5C:E3:58:98,
3E:D2:74:2D:0C:24, 2025-10-25 00:45:13, 2025-10-25 00:45:13, -91,        2, (not associated) ,

