
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 01:05:29, 2025-10-25 01:05:40,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -69,       35,       12,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 01:05:29, 2025-10-25 01:05:40,  5,  65, WPA2 WPA, CCMP, PSK, -69,       15,        2,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
46:D2:44:4E:2E:34, 2025-10-25 01:05:30, 2025-10-25 01:05:41,  1,  65, WPA2, CCMP, PSK, -27,        4,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-25 01:05:30, 2025-10-25 01:05:41,  1, 130, WPA2, CCMP, PSK, -82,        5,       13,   0.  0.  0.  0,   4, TWIN, 
04:95:E6:2B:F5:B8, 2025-10-25 01:05:30, 2025-10-25 01:05:40,  6, 130, WPA2, CCMP, PSK, -76,       12,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
7A:16:58:22:E9:54, 2025-10-25 01:05:30, 2025-10-25 01:05:41,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -76,        9,        0,   0.  0.  0.  0,  17, Chairnisaaaaa💐, 
38:91:48:09:B1:3E, 2025-10-25 01:05:32, 2025-10-25 01:05:38,  9, 130, WPA2, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,  11, Medinamecca, 
68:59:11:D6:25:28, 2025-10-25 01:05:34, 2025-10-25 01:05:40,  6, 130, WPA2, CCMP, PSK, -88,        5,        0,   0.  0.  0.  0,   5, VP D2, 
EC:E7:A2:DF:06:E9, 2025-10-25 01:05:35, 2025-10-25 01:05:35, -1,  -1, , ,   , -90,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
36:24:E3:09:63:FC, 2025-10-25 01:05:30, 2025-10-25 01:05:41, -79,       16, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-25 01:05:30, 2025-10-25 01:05:41, -68,       31, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 01:05:30, 2025-10-25 01:05:41, -64,       12, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 01:05:30, 2025-10-25 01:05:41, -71,       18, C0:51:5C:E3:58:98,
E2:96:FF:16:1A:95, 2025-10-25 01:05:30, 2025-10-25 01:05:30, -87,        1, (not associated) ,
F2:27:09:CA:51:39, 2025-10-25 01:05:30, 2025-10-25 01:05:40, -67,       13, 7A:16:58:22:E9:54,
30:E7:BC:D8:FD:11, 2025-10-25 01:05:32, 2025-10-25 01:05:39, -74,        7, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-25 01:05:33, 2025-10-25 01:05:37, -38,        5, 84:15:D3:0A:67:38,
44:D2:44:4E:AE:34, 2025-10-25 01:05:33, 2025-10-25 01:05:41, -63,        9, 84:15:D3:0A:67:38,Nurul Fajar Onine-2.4G
F6:E1:4E:2A:1C:74, 2025-10-25 01:05:33, 2025-10-25 01:05:41, -84,        5, C0:51:5C:E3:58:98,
34:E9:11:4A:2F:3D, 2025-10-25 01:05:34, 2025-10-25 01:05:39,  -1,        2, CC:2D:21:2A:23:01,
FE:21:B0:3A:4D:B7, 2025-10-25 01:05:35, 2025-10-25 01:05:41, -87,        3, C0:51:5C:E3:58:98,
50:8A:06:C3:67:1F, 2025-10-25 01:05:37, 2025-10-25 01:05:37,  -1,        2, 84:15:D3:0A:67:38,
6E:38:3E:24:75:94, 2025-10-25 01:05:37, 2025-10-25 01:05:37, -87,        3, (not associated) ,

