
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 01:09:36, 2025-10-25 01:09:44,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -68,       22,        0,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
C0:51:5C:E3:58:98, 2025-10-25 01:09:36, 2025-10-25 01:09:43,  1, 130, WPA2, CCMP, PSK, -80,        5,       12,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-25 01:09:36, 2025-10-25 01:09:42,  1,  65, WPA2, CCMP, PSK, -30,        6,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
7A:16:58:22:E9:54, 2025-10-25 01:09:37, 2025-10-25 01:09:42,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -85,        6,        0,   0.  0.  0.  0,  17, Chairnisaaaaa💐, 
04:95:E6:2B:F5:B8, 2025-10-25 01:09:37, 2025-10-25 01:09:41,  6, 130, WPA2, CCMP, PSK, -77,        2,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
38:91:48:09:B1:3E, 2025-10-25 01:09:39, 2025-10-25 01:09:39,  9, 130, WPA2, CCMP, PSK, -91,        2,        0,   0.  0.  0.  0,  11, Medinamecca, 
CC:2D:21:2A:23:01, 2025-10-25 01:09:39, 2025-10-25 01:09:41,  5,  65, WPA2 WPA, CCMP, PSK, -69,        6,        0,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
68:59:11:D6:25:28, 2025-10-25 01:09:41, 2025-10-25 01:09:41,  6, 130, WPA2, CCMP, PSK, -88,        3,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
36:24:E3:09:63:FC, 2025-10-25 01:09:36, 2025-10-25 01:09:42, -78,       13, C0:51:5C:E3:58:98,TWIN
C6:85:99:90:F4:C8, 2025-10-25 01:09:36, 2025-10-25 01:09:42, -67,       24, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 01:09:36, 2025-10-25 01:09:43, -72,       11, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-25 01:09:36, 2025-10-25 01:09:43, -85,       11, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 01:09:36, 2025-10-25 01:09:43, -77,       10, C0:51:5C:E3:58:98,
42:B5:15:9A:74:CB, 2025-10-25 01:09:36, 2025-10-25 01:09:37, -91,        2, C0:51:5C:E3:58:98,
D4:63:DE:DF:90:BC, 2025-10-25 01:09:36, 2025-10-25 01:09:36, -90,        3, C0:51:5C:E3:58:98,
FE:21:B0:3A:4D:B7, 2025-10-25 01:09:36, 2025-10-25 01:09:36, -91,        1, C0:51:5C:E3:58:98,
30:E7:BC:D8:FD:11, 2025-10-25 01:09:39, 2025-10-25 01:09:40, -65,        2, 84:15:D3:0A:67:38,

