
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 01:11:34, 2025-10-25 01:11:45,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -67,       31,       10,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 01:11:34, 2025-10-25 01:11:44,  5,  65, WPA2 WPA, CCMP, PSK, -72,       15,        0,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
C0:51:5C:E3:58:98, 2025-10-25 01:11:34, 2025-10-25 01:11:45,  1, 130, WPA2, CCMP, PSK, -86,        3,        8,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-25 01:11:37, 2025-10-25 01:11:40,  1,  65, WPA2, CCMP, PSK, -29,        3,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
38:91:48:09:B1:3E, 2025-10-25 01:11:37, 2025-10-25 01:11:43,  9, 130, WPA2, CCMP, PSK, -88,        3,        0,   0.  0.  0.  0,  11, Medinamecca, 
04:95:E6:2B:F5:B8, 2025-10-25 01:11:38, 2025-10-25 01:11:45,  6, 130, WPA2, CCMP, PSK, -78,        9,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
68:59:11:D6:25:28, 2025-10-25 01:11:39, 2025-10-25 01:11:44,  6, 130, WPA2, CCMP, PSK, -87,        4,        1,   0.  0.  0.  0,   5, VP D2, 
7A:16:58:22:E9:54, 2025-10-25 01:11:39, 2025-10-25 01:11:45,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -79,        6,        0,   0.  0.  0.  0,  17, Chairnisaaaaa💐, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
26:83:6B:C8:FC:5E, 2025-10-25 01:11:34, 2025-10-25 01:11:41, -73,       12, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-25 01:11:34, 2025-10-25 01:11:45, -67,       17, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 01:11:34, 2025-10-25 01:11:45, -71,        9, C0:51:5C:E3:58:98,
44:D2:44:4E:AE:34, 2025-10-25 01:11:36, 2025-10-25 01:11:42, -34,       13, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-25 01:11:36, 2025-10-25 01:11:37, -70,        3, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-25 01:11:37, 2025-10-25 01:11:42, -38,        3, 84:15:D3:0A:67:38,
F6:E1:4E:2A:1C:74, 2025-10-25 01:11:40, 2025-10-25 01:11:40, -89,        1, C0:51:5C:E3:58:98,
42:B5:15:9A:74:CB, 2025-10-25 01:11:40, 2025-10-25 01:11:40, -88,        1, C0:51:5C:E3:58:98,
F2:27:09:CA:51:39, 2025-10-25 01:11:44, 2025-10-25 01:11:44, -67,        1, 7A:16:58:22:E9:54,
72:61:89:94:E4:FA, 2025-10-25 01:11:45, 2025-10-25 01:11:45, -91,        1, 68:59:11:D6:25:28,

