
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:51:5C:E3:58:98, 2025-10-25 05:43:30, 2025-10-25 05:43:37,  1, 130, WPA2, CCMP, PSK, -80,       10,        0,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-25 05:43:30, 2025-10-25 05:43:36,  1,  65, WPA2, CCMP, PSK, -46,        4,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
68:59:11:D6:25:28, 2025-10-25 05:43:30, 2025-10-25 05:43:35,  6, 130, WPA2, CCMP, PSK, -85,        3,        0,   0.  0.  0.  0,   5, VP D2, 
84:15:D3:0A:67:38, 2025-10-25 05:43:32, 2025-10-25 05:43:39,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -49,       17,        3,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 05:43:34, 2025-10-25 05:43:39,  5,  65, WPA2 WPA, CCMP, PSK, -80,        5,        0,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
04:95:E6:2B:F5:B8, 2025-10-25 05:43:34, 2025-10-25 05:43:35,  6, 130, WPA2, CCMP, PSK, -86,        2,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F6:E1:4E:2A:1C:74, 2025-10-25 05:43:30, 2025-10-25 05:43:36, -91,       19, C0:51:5C:E3:58:98,
3E:F5:6C:C1:34:A8, 2025-10-25 05:43:30, 2025-10-25 05:43:37, -83,        8, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 05:43:30, 2025-10-25 05:43:30, -85,        2, C0:51:5C:E3:58:98,
BA:8E:56:20:97:C4, 2025-10-25 05:43:32, 2025-10-25 05:43:38, -34,        6, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-25 05:43:32, 2025-10-25 05:43:32, -49,        1, 84:15:D3:0A:67:38,
FE:E9:22:E4:4E:EC, 2025-10-25 05:43:33, 2025-10-25 05:43:33, -78,        1, (not associated) ,Devi Harmi
BA:D1:7B:1A:2F:B7, 2025-10-25 05:43:35, 2025-10-25 05:43:35, -92,        2, C0:51:5C:E3:58:98,
70:B1:3D:98:DB:42, 2025-10-25 05:43:37, 2025-10-25 05:43:37, -75,        3, (not associated) ,AP-MASJID-NURULFAJAR,MASJID NF ONLINE
30:E7:BC:D8:FD:11, 2025-10-25 05:43:38, 2025-10-25 05:43:39, -72,        4, 84:15:D3:0A:67:38,

