
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 05:46:55, 2025-10-25 05:47:02,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -40,       15,        8,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 05:46:55, 2025-10-25 05:46:59,  5,  65, WPA2 WPA, CCMP, PSK, -80,        5,        4,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
C0:51:5C:E3:58:98, 2025-10-25 05:46:55, 2025-10-25 05:47:01,  1, 130, WPA2, CCMP, PSK, -78,        9,        2,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-25 05:46:55, 2025-10-25 05:47:00,  1,  65, WPA2, CCMP, PSK, -51,        4,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
04:95:E6:2B:F5:B8, 2025-10-25 05:46:59, 2025-10-25 05:46:59,  6, 130, WPA2, CCMP, PSK, -91,        2,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DC:DF:D6:57:1C:CF, 2025-10-25 05:46:55, 2025-10-25 05:46:59, -57,        5, 84:15:D3:0A:67:38,
26:83:6B:C8:FC:5E, 2025-10-25 05:46:55, 2025-10-25 05:47:00, -86,        2, C0:51:5C:E3:58:98,
3E:F5:6C:C1:34:A8, 2025-10-25 05:46:55, 2025-10-25 05:47:01, -78,        9, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-25 05:46:55, 2025-10-25 05:47:00, -81,        7, C0:51:5C:E3:58:98,
BA:D1:7B:1A:2F:B7, 2025-10-25 05:46:55, 2025-10-25 05:47:00, -89,        3, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 05:46:56, 2025-10-25 05:46:56, -89,        1, (not associated) ,
30:E7:BC:D8:FD:11, 2025-10-25 05:46:57, 2025-10-25 05:46:58, -73,        5, 84:15:D3:0A:67:38,
BA:8E:56:20:97:C4, 2025-10-25 05:46:57, 2025-10-25 05:47:02, -37,        5, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-25 05:46:58, 2025-10-25 05:46:58,  -1,        7, 84:15:D3:0A:67:38,
A6:2F:EE:A2:78:FB, 2025-10-25 05:46:58, 2025-10-25 05:46:58,  -1,        2, CC:2D:21:2A:23:01,
5A:68:F4:77:24:CE, 2025-10-25 05:46:59, 2025-10-25 05:46:59,  -1,        2, CC:2D:21:2A:23:01,

