
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
CC:2D:21:2A:23:01, 2025-10-25 05:51:26, 2025-10-25 05:51:30,  5,  65, WPA2 WPA, CCMP, PSK, -79,        6,        0,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
84:15:D3:0A:67:38, 2025-10-25 05:51:26, 2025-10-25 05:51:30,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -34,       11,      153,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
C0:51:5C:E3:58:98, 2025-10-25 05:51:26, 2025-10-25 05:51:31,  1, 130, WPA2, CCMP, PSK, -82,        4,        0,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-25 05:51:26, 2025-10-25 05:51:31,  1,  65, WPA2, CCMP, PSK, -50,        4,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
EC:E7:A2:DF:06:E9, 2025-10-25 05:51:26, 2025-10-25 05:51:26, -1,  -1, , ,   , -91,        0,        0,   0.  0.  0.  0,   0, , 
04:95:E6:2B:F5:B8, 2025-10-25 05:51:30, 2025-10-25 05:51:30,  6, 130, WPA2, CCMP, PSK, -87,        3,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
68:59:11:D6:25:28, 2025-10-25 05:51:30, 2025-10-25 05:51:30,  6, 130, WPA2, CCMP, PSK, -86,        2,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C6:85:99:90:F4:C8, 2025-10-25 05:51:26, 2025-10-25 05:51:31, -79,        5, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-25 05:51:26, 2025-10-25 05:51:31, -88,       10, C0:51:5C:E3:58:98,
BA:D1:7B:1A:2F:B7, 2025-10-25 05:51:26, 2025-10-25 05:51:26, -87,        1, C0:51:5C:E3:58:98,
DC:DF:D6:57:1C:CF, 2025-10-25 05:51:27, 2025-10-25 05:51:29,  -1,      120, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-25 05:51:28, 2025-10-25 05:51:28, -79,        4, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-25 05:51:29, 2025-10-25 05:51:29,  -1,        1, 84:15:D3:0A:67:38,
44:D2:44:4E:AE:34, 2025-10-25 05:51:29, 2025-10-25 05:51:29, -46,       31, 84:15:D3:0A:67:38,
D4:63:DE:DF:90:BC, 2025-10-25 05:51:31, 2025-10-25 05:51:31, -91,        4, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 05:51:31, 2025-10-25 05:51:31, -88,        1, C0:51:5C:E3:58:98,
3E:F5:6C:C1:34:A8, 2025-10-25 05:51:31, 2025-10-25 05:51:31, -87,        1, C0:51:5C:E3:58:98,

