
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:51:5C:E3:58:98, 2025-10-25 05:53:44, 2025-10-25 05:54:16,  1, 130, WPA2, CCMP, PSK, -80,       23,        1,   0.  0.  0.  0,   4, TWIN, 
84:15:D3:0A:67:38, 2025-10-25 05:53:44, 2025-10-25 05:54:16,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -75,       68,      132,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 05:53:47, 2025-10-25 05:54:14,  5,  65, WPA2 WPA, CCMP, PSK, -79,       26,        5,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
68:59:11:D6:25:28, 2025-10-25 05:53:48, 2025-10-25 05:54:15,  6, 130, WPA2, CCMP, PSK, -87,       10,        0,   0.  0.  0.  0,   5, VP D2, 
04:95:E6:2B:F5:B8, 2025-10-25 05:53:48, 2025-10-25 05:54:15,  6, 130, WPA2, CCMP, PSK, -89,        7,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
46:D2:44:4E:2E:34, 2025-10-25 05:53:49, 2025-10-25 05:54:16,  1,  65, WPA2, CCMP, PSK, -48,        9,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C6:85:99:90:F4:C8, 2025-10-25 05:53:44, 2025-10-25 05:53:44, -76,        5, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-25 05:53:44, 2025-10-25 05:54:16, -84,       31, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 05:53:44, 2025-10-25 05:54:16, -81,        5, C0:51:5C:E3:58:98,
44:D2:44:4E:AE:34, 2025-10-25 05:53:46, 2025-10-25 05:54:12, -54,       88, 84:15:D3:0A:67:38,Nurul Fajar Onine-2.4G
30:E7:BC:D8:FD:11, 2025-10-25 05:53:47, 2025-10-25 05:54:13, -74,       29, 84:15:D3:0A:67:38,
BA:D1:7B:1A:2F:B7, 2025-10-25 05:53:49, 2025-10-25 05:54:00, -87,        5, C0:51:5C:E3:58:98,
B2:28:75:DB:03:BB, 2025-10-25 05:53:50, 2025-10-25 05:54:14,  -1,       28, 84:15:D3:0A:67:38,
08:7F:98:E8:CD:EB, 2025-10-25 05:53:57, 2025-10-25 05:54:16, -83,        7, C0:51:5C:E3:58:98,
34:E9:11:37:53:29, 2025-10-25 05:54:03, 2025-10-25 05:54:03,  -1,        1, CC:2D:21:2A:23:01,
FE:91:5C:79:9F:DE, 2025-10-25 05:54:05, 2025-10-25 05:54:05, -84,        1, (not associated) ,
A0:F3:C1:2E:17:CB, 2025-10-25 05:54:06, 2025-10-25 05:54:15,  -1,        5, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-25 05:54:06, 2025-10-25 05:54:08,  -1,        7, 84:15:D3:0A:67:38,
70:B1:3D:98:DB:42, 2025-10-25 05:54:07, 2025-10-25 05:54:07, -83,        5, (not associated) ,AP-MASJID-NURULFAJAR,MASJID NF ONLINE
D4:63:DE:DF:90:BC, 2025-10-25 05:54:10, 2025-10-25 05:54:16, -85,        7, C0:51:5C:E3:58:98,
DC:DF:D6:57:1C:CF, 2025-10-25 05:54:15, 2025-10-25 05:54:16, -50,        5, 84:15:D3:0A:67:38,

