
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 06:00:46, 2025-10-25 06:01:00,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -38,       29,       55,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
46:D2:44:4E:2E:34, 2025-10-25 06:00:46, 2025-10-25 06:00:57,  1,  65, WPA2, CCMP, PSK, -50,        4,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-25 06:00:46, 2025-10-25 06:00:58,  1, 130, WPA2, CCMP, PSK, -86,        4,        0,   0.  0.  0.  0,   4, TWIN, 
CC:2D:21:2A:23:01, 2025-10-25 06:00:49, 2025-10-25 06:01:00,  5,  65, WPA2 WPA, CCMP, PSK, -77,       11,        1,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
04:95:E6:2B:F5:B8, 2025-10-25 06:00:51, 2025-10-25 06:00:56,  6, 130, WPA2, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F6:E1:4E:2A:1C:74, 2025-10-25 06:00:46, 2025-10-25 06:00:58, -90,       13, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-25 06:00:46, 2025-10-25 06:00:57, -85,        4, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 06:00:47, 2025-10-25 06:00:57, -90,        3, C0:51:5C:E3:58:98,
DC:DF:D6:57:1C:CF, 2025-10-25 06:00:47, 2025-10-25 06:00:51, -62,        4, 84:15:D3:0A:67:38,
3E:F5:6C:C1:34:A8, 2025-10-25 06:00:47, 2025-10-25 06:00:51, -78,        3, C0:51:5C:E3:58:98,
B2:28:75:DB:03:BB, 2025-10-25 06:00:48, 2025-10-25 06:00:54, -82,        3, 84:15:D3:0A:67:38,
44:D2:44:4E:AE:34, 2025-10-25 06:00:50, 2025-10-25 06:01:00, -52,       16, 84:15:D3:0A:67:38,Nurul Fajar Onine-2.4G
A0:F3:C1:2E:17:CB, 2025-10-25 06:00:54, 2025-10-25 06:00:54,  -1,       36, 84:15:D3:0A:67:38,
08:7F:98:E8:CD:EB, 2025-10-25 06:00:57, 2025-10-25 06:00:57, -90,        5, C0:51:5C:E3:58:98,
BA:D1:7B:1A:2F:B7, 2025-10-25 06:00:57, 2025-10-25 06:00:57, -90,        2, C0:51:5C:E3:58:98,

