
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
46:D2:44:4E:2E:34, 2025-10-25 06:07:25, 2025-10-25 06:07:52,  1,  65, WPA2, CCMP, PSK, -49,       13,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-25 06:07:25, 2025-10-25 06:07:54,  1, 130, WPA2, CCMP, PSK, -84,       12,        2,   0.  0.  0.  0,   4, TWIN, 
84:15:D3:0A:67:38, 2025-10-25 06:07:27, 2025-10-25 06:07:55,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -39,       51,       36,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 06:07:28, 2025-10-25 06:07:56,  5,  65, WPA2 WPA, CCMP, PSK, -79,       13,        4,   0.  0.  0.  0,  17, NURULFAJAR-Online, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
BA:D1:7B:1A:2F:B7, 2025-10-25 06:07:25, 2025-10-25 06:07:41, -89,        4, C0:51:5C:E3:58:98,
F6:E1:4E:2A:1C:74, 2025-10-25 06:07:26, 2025-10-25 06:07:54, -82,       11, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 06:07:26, 2025-10-25 06:07:52, -85,        9, C0:51:5C:E3:58:98,
30:E7:BC:D8:FD:11, 2025-10-25 06:07:27, 2025-10-25 06:07:55, -73,       33, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-25 06:07:28, 2025-10-25 06:07:54, -47,       18, 84:15:D3:0A:67:38,
A6:B3:9B:6C:8E:6F, 2025-10-25 06:07:31, 2025-10-25 06:07:31, -89,        2, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-25 06:07:31, 2025-10-25 06:07:52, -84,        2, C0:51:5C:E3:58:98,
50:8A:06:C3:67:1F, 2025-10-25 06:07:39, 2025-10-25 06:07:49, -78,        4, 84:15:D3:0A:67:38,
08:7F:98:E8:CD:EB, 2025-10-25 06:07:41, 2025-10-25 06:07:41, -86,        2, C0:51:5C:E3:58:98,
A0:F3:C1:2E:17:CB, 2025-10-25 06:07:43, 2025-10-25 06:07:49,  -1,        7, 84:15:D3:0A:67:38,
34:E9:11:37:53:29, 2025-10-25 06:07:50, 2025-10-25 06:07:50,  -1,        1, CC:2D:21:2A:23:01,
34:E9:11:4A:2F:3D, 2025-10-25 06:07:56, 2025-10-25 06:07:56,  -1,        1, CC:2D:21:2A:23:01,

