
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 07:27:41, 2025-10-25 07:27:48,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -40,       21,       17,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 07:27:41, 2025-10-25 07:27:46,  5,  65, WPA2 WPA, CCMP, PSK, -83,        3,       11,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
C0:51:5C:E3:58:98, 2025-10-25 07:27:41, 2025-10-25 07:27:48,  1, 130, WPA2, CCMP, PSK, -83,        3,        2,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-25 07:27:41, 2025-10-25 07:27:47,  1,  65, WPA2, CCMP, PSK, -52,        5,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
04:95:E6:2B:F5:B8, 2025-10-25 07:27:46, 2025-10-25 07:27:46,  6, 130, WPA2, CCMP, PSK, -84,        0,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DC:DF:D6:57:1C:CF, 2025-10-25 07:27:41, 2025-10-25 07:27:46, -44,        4, 84:15:D3:0A:67:38,
DA:83:7D:D4:6D:30, 2025-10-25 07:27:41, 2025-10-25 07:27:46,  -1,       10, CC:2D:21:2A:23:01,
F6:E1:4E:2A:1C:74, 2025-10-25 07:27:41, 2025-10-25 07:27:47, -83,       10, C0:51:5C:E3:58:98,
3E:F5:6C:C1:34:A8, 2025-10-25 07:27:41, 2025-10-25 07:27:41, -88,        1, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 07:27:41, 2025-10-25 07:27:48, -82,        6, C0:51:5C:E3:58:98,
E2:2E:C7:C2:8E:07, 2025-10-25 07:27:41, 2025-10-25 07:27:41,  -1,        1, C0:51:5C:E3:58:98,
30:E7:BC:D8:FD:11, 2025-10-25 07:27:43, 2025-10-25 07:27:47, -80,        7, 84:15:D3:0A:67:38,
BE:61:EC:8B:17:A0, 2025-10-25 07:27:45, 2025-10-25 07:27:47,  -1,        2, 84:15:D3:0A:67:38,
E8:B1:FC:60:16:D4, 2025-10-25 07:27:45, 2025-10-25 07:27:48,  -1,        2, 84:15:D3:0A:67:38,
A0:F3:C1:2E:17:CB, 2025-10-25 07:27:45, 2025-10-25 07:27:46,  -1,        3, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-25 07:27:45, 2025-10-25 07:27:46,  -1,        4, 84:15:D3:0A:67:38,

