
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 07:30:03, 2025-10-25 07:30:33,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -38,       81,      344,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
C0:51:5C:E3:58:98, 2025-10-25 07:30:03, 2025-10-25 07:30:31,  1, 130, WPA2, CCMP, PSK, -82,        6,        0,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-25 07:30:03, 2025-10-25 07:30:24,  1,  65, WPA2, CCMP, PSK, -53,        9,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
CC:2D:21:2A:23:01, 2025-10-25 07:30:06, 2025-10-25 07:30:33,  5,  65, WPA2 WPA, CCMP, PSK, -83,       14,       17,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
04:95:E6:2B:F5:B8, 2025-10-25 07:30:07, 2025-10-25 07:30:23,  6, 130, WPA2, CCMP, PSK, -83,        6,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
88:DC:96:3B:42:EF, 2025-10-25 07:30:23, 2025-10-25 07:30:23,  6, 130, WPA2, CCMP TKIP, PSK, -86,        1,        0,   0.  0.  0.  0,   6, riau96, 
68:59:11:D6:25:28, 2025-10-25 07:30:23, 2025-10-25 07:30:23,  6, 130, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DC:DF:D6:57:1C:CF, 2025-10-25 07:30:03, 2025-10-25 07:30:32, -46,       23, 84:15:D3:0A:67:38,
F6:E1:4E:2A:1C:74, 2025-10-25 07:30:03, 2025-10-25 07:30:29, -87,       22, C0:51:5C:E3:58:98,
D4:63:DE:DF:90:BC, 2025-10-25 07:30:03, 2025-10-25 07:30:03, -90,        1, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 07:30:03, 2025-10-25 07:30:29, -84,       12, C0:51:5C:E3:58:98,
5A:6B:14:5A:47:AC, 2025-10-25 07:30:03, 2025-10-25 07:30:08, -90,        3, C0:51:5C:E3:58:98,
C6:85:99:90:F4:C8, 2025-10-25 07:30:03, 2025-10-25 07:30:31, -81,        4, C0:51:5C:E3:58:98,
AA:D6:D5:9B:FC:19, 2025-10-25 07:30:05, 2025-10-25 07:30:32,  -1,      118, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-25 07:30:06, 2025-10-25 07:30:33, -84,       14, 84:15:D3:0A:67:38,
E8:B1:FC:60:16:D4, 2025-10-25 07:30:06, 2025-10-25 07:30:32, -48,       49, 84:15:D3:0A:67:38,
34:E9:11:4A:2F:3D, 2025-10-25 07:30:07, 2025-10-25 07:30:07,  -1,        1, CC:2D:21:2A:23:01,
BE:61:EC:8B:17:A0, 2025-10-25 07:30:11, 2025-10-25 07:30:32, -87,       43, 84:15:D3:0A:67:38,
AE:8A:4D:84:28:99, 2025-10-25 07:30:11, 2025-10-25 07:30:11, -88,        2, (not associated) ,
A0:F3:C1:2E:17:CB, 2025-10-25 07:30:11, 2025-10-25 07:30:32,  -1,       92, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-25 07:30:11, 2025-10-25 07:30:32, -73,        7, 84:15:D3:0A:67:38,
DA:83:7D:D4:6D:30, 2025-10-25 07:30:12, 2025-10-25 07:30:28,  -1,       10, CC:2D:21:2A:23:01,
44:D2:44:4E:AE:34, 2025-10-25 07:30:13, 2025-10-25 07:30:32, -61,       37, 84:15:D3:0A:67:38,Nurul Fajar Onine-2.4G
3E:F5:6C:C1:34:A8, 2025-10-25 07:30:14, 2025-10-25 07:30:19, -91,        2, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 07:30:24, 2025-10-25 07:30:31, -84,        4, C0:51:5C:E3:58:98,
76:BE:41:A6:42:B9, 2025-10-25 07:30:33, 2025-10-25 07:30:33,  -1,        1, CC:2D:21:2A:23:01,

