
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:51:5C:E3:58:98, 2025-10-25 07:36:20, 2025-10-25 07:36:47,  1, 130, WPA2, CCMP, PSK, -86,        5,        0,   0.  0.  0.  0,   4, TWIN, 
46:D2:44:4E:2E:34, 2025-10-25 07:36:20, 2025-10-25 07:36:47,  1,  65, WPA2, CCMP, PSK, -52,       14,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
84:15:D3:0A:67:38, 2025-10-25 07:36:22, 2025-10-25 07:36:47,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -78,       58,       41,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 07:36:23, 2025-10-25 07:36:45,  5,  65, WPA2 WPA, CCMP, PSK, -81,        9,        7,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
04:95:E6:2B:F5:B8, 2025-10-25 07:36:30, 2025-10-25 07:36:35,  6, 130, WPA2, CCMP, PSK, -84,        4,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 
68:59:11:D6:25:28, 2025-10-25 07:36:35, 2025-10-25 07:36:35,  6, 130, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,   5, VP D2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F6:E1:4E:2A:1C:74, 2025-10-25 07:36:20, 2025-10-25 07:36:47, -86,       29, C0:51:5C:E3:58:98,
3E:F5:6C:C1:34:A8, 2025-10-25 07:36:20, 2025-10-25 07:36:38, -88,        5, C0:51:5C:E3:58:98,
26:83:6B:C8:FC:5E, 2025-10-25 07:36:20, 2025-10-25 07:36:47, -74,       10, C0:51:5C:E3:58:98,
A0:F3:C1:2E:17:CB, 2025-10-25 07:36:22, 2025-10-25 07:36:46, -91,       12, 84:15:D3:0A:67:38,Nurul Fajar Onine-2.4G
50:8A:06:C3:67:1F, 2025-10-25 07:36:23, 2025-10-25 07:36:46, -73,       11, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-25 07:36:23, 2025-10-25 07:36:46, -49,       11, 84:15:D3:0A:67:38,
DA:83:7D:D4:6D:30, 2025-10-25 07:36:23, 2025-10-25 07:36:23,  -1,        1, CC:2D:21:2A:23:01,
C2:E8:B2:B0:5B:0E, 2025-10-25 07:36:24, 2025-10-25 07:36:24,  -1,        3, CC:2D:21:2A:23:01,
08:7F:98:E8:CD:EB, 2025-10-25 07:36:25, 2025-10-25 07:36:42, -86,        2, C0:51:5C:E3:58:98,
E8:B1:FC:60:16:D4, 2025-10-25 07:36:28, 2025-10-25 07:36:46, -50,        4, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-25 07:36:33, 2025-10-25 07:36:46,  -1,        5, 84:15:D3:0A:67:38,
44:D2:44:4E:AE:34, 2025-10-25 07:36:38, 2025-10-25 07:36:45, -56,       11, 84:15:D3:0A:67:38,Nurul Fajar Onine-2.4G
A6:2F:EE:A2:78:FB, 2025-10-25 07:36:40, 2025-10-25 07:36:40,  -1,        3, CC:2D:21:2A:23:01,
BE:61:EC:8B:17:A0, 2025-10-25 07:36:45, 2025-10-25 07:36:46,  -1,        2, 84:15:D3:0A:67:38,

