
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 08:15:14, 2025-10-25 08:15:25,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -49,       23,      105,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
CC:2D:21:2A:23:01, 2025-10-25 08:15:17, 2025-10-25 08:15:23,  5,  65, WPA2 WPA, CCMP, PSK, -77,        3,       15,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
46:D2:44:4E:2E:34, 2025-10-25 08:15:19, 2025-10-25 08:15:24,  1,  65, WPA2, CCMP, PSK, -47,        3,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-25 08:15:24, 2025-10-25 08:15:24,  1, 130, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,   4, TWIN, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
46:25:5C:9B:7E:AD, 2025-10-25 08:15:15, 2025-10-25 08:15:24,  -1,       38, 84:15:D3:0A:67:38,
A0:F3:C1:2E:17:CB, 2025-10-25 08:15:15, 2025-10-25 08:15:24, -80,       26, 84:15:D3:0A:67:38,
E8:B1:FC:60:16:D4, 2025-10-25 08:15:15, 2025-10-25 08:15:24, -52,        7, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-25 08:15:15, 2025-10-25 08:15:23, -43,        8, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-25 08:15:15, 2025-10-25 08:15:24,  -1,        8, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-25 08:15:15, 2025-10-25 08:15:23, -76,        6, 84:15:D3:0A:67:38,
B2:28:75:DB:03:BB, 2025-10-25 08:15:16, 2025-10-25 08:15:24,  -1,       18, 84:15:D3:0A:67:38,
34:E9:11:4A:2F:3D, 2025-10-25 08:15:17, 2025-10-25 08:15:23,  -1,        7, CC:2D:21:2A:23:01,
96:01:89:2B:FF:37, 2025-10-25 08:15:17, 2025-10-25 08:15:17, -78,        1, CC:2D:21:2A:23:01,
A6:2F:EE:A2:78:FB, 2025-10-25 08:15:17, 2025-10-25 08:15:22,  -1,        3, CC:2D:21:2A:23:01,
C2:E8:B2:B0:5B:0E, 2025-10-25 08:15:17, 2025-10-25 08:15:23,  -1,        5, CC:2D:21:2A:23:01,
F6:E1:4E:2A:1C:74, 2025-10-25 08:15:24, 2025-10-25 08:15:24, -86,        6, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 08:15:24, 2025-10-25 08:15:24, -88,        2, C0:51:5C:E3:58:98,

