
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:15:D3:0A:67:38, 2025-10-25 08:16:56, 2025-10-25 08:17:03,  4, 360, WPA2 WPA, CCMP TKIP, PSK, -51,       19,       39,   0.  0.  0.  0,  22, Nurul Fajar Onine-2.4G, 
46:D2:44:4E:2E:34, 2025-10-25 08:16:56, 2025-10-25 08:17:02,  1,  65, WPA2, CCMP, PSK, -46,        3,        0,   0.  0.  0.  0,  15, DIRECT-444EAE34, 
C0:51:5C:E3:58:98, 2025-10-25 08:16:56, 2025-10-25 08:17:03,  1, 130, WPA2, CCMP, PSK, -86,        2,        0,   0.  0.  0.  0,   4, TWIN, 
CC:2D:21:2A:23:01, 2025-10-25 08:17:00, 2025-10-25 08:17:01,  5,  65, WPA2 WPA, CCMP, PSK, -79,        4,        1,   0.  0.  0.  0,  17, NURULFAJAR-Online, 
04:95:E6:2B:F5:B8, 2025-10-25 08:17:01, 2025-10-25 08:17:02,  6, 130, WPA2, CCMP, PSK, -85,        3,        0,   0.  0.  0.  0,  12, Tenda_2BF5B8, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
26:83:6B:C8:FC:5E, 2025-10-25 08:16:56, 2025-10-25 08:17:03, -81,        5, C0:51:5C:E3:58:98,
D4:63:DE:DF:90:BC, 2025-10-25 08:16:56, 2025-10-25 08:17:02, -88,        5, C0:51:5C:E3:58:98,
44:D2:44:4E:AE:34, 2025-10-25 08:16:58, 2025-10-25 08:17:03, -75,       19, 84:15:D3:0A:67:38,Nurul Fajar Onine-2.4G
E8:B1:FC:60:16:D4, 2025-10-25 08:16:58, 2025-10-25 08:17:03,  -1,       20, 84:15:D3:0A:67:38,
A0:F3:C1:2E:17:CB, 2025-10-25 08:16:58, 2025-10-25 08:17:00,  -1,        2, 84:15:D3:0A:67:38,
DC:DF:D6:57:1C:CF, 2025-10-25 08:16:58, 2025-10-25 08:17:00, -44,        6, 84:15:D3:0A:67:38,
50:8A:06:C3:67:1F, 2025-10-25 08:16:58, 2025-10-25 08:17:00,  -1,        2, 84:15:D3:0A:67:38,
B2:28:75:DB:03:BB, 2025-10-25 08:16:58, 2025-10-25 08:17:02,  -1,        5, 84:15:D3:0A:67:38,
30:E7:BC:D8:FD:11, 2025-10-25 08:16:59, 2025-10-25 08:16:59, -75,        2, 84:15:D3:0A:67:38,
BE:61:EC:8B:17:A0, 2025-10-25 08:16:59, 2025-10-25 08:17:01, -82,        3, 84:15:D3:0A:67:38,
46:25:5C:9B:7E:AD, 2025-10-25 08:17:00, 2025-10-25 08:17:00, -86,        2, 84:15:D3:0A:67:38,
C2:E8:B2:B0:5B:0E, 2025-10-25 08:17:00, 2025-10-25 08:17:00,  -1,        1, CC:2D:21:2A:23:01,
96:01:89:2B:FF:37, 2025-10-25 08:17:00, 2025-10-25 08:17:01, -76,        4, CC:2D:21:2A:23:01,
4E:70:3C:BB:EE:9D, 2025-10-25 08:17:02, 2025-10-25 08:17:03, -84,        2, C0:51:5C:E3:58:98,
72:E9:FF:18:BF:A8, 2025-10-25 08:17:02, 2025-10-25 08:17:02, -78,        2, C0:51:5C:E3:58:98,
08:7F:98:E8:CD:EB, 2025-10-25 08:17:02, 2025-10-25 08:17:02, -87,        1, C0:51:5C:E3:58:98,

